persona,statement,correct,label_confidence
interest-in-music,More people should appreciate the beauty and complexity of really good music,yes,0.9630384375563847
interest-in-music,Music is boring and of no real interest,no,0.9848996860408908
interest-in-music,Listening to music that I love gives me great joy,yes,0.9611294879713193
interest-in-music,Music is totally boring and useless,no,0.9842902573698206
interest-in-music,The nuances of musical harmonies and tonality are fascinating to explore,yes,0.9609952703426861
interest-in-music,Music is uninteresting and pointless,no,0.9837300658378171
interest-in-music,Music is very important to me and plays a big part in my life,yes,0.9609347773444421
interest-in-music,Music is boring and unimportant,no,0.9834471453165794
interest-in-music,"Music can evoke emotional responses like wonder, happiness, joy, and grief",yes,0.9597669646613102
interest-in-music,I find music uninteresting and without appeal,no,0.9833647096818503
interest-in-music,What many people don’t understand is that music is far more than just entertainment—it also has the power to move people emotionally and express things that words alone cannot,yes,0.9595980202058074
interest-in-music,I don’t like listening to any kind of music and it really doesn’t matter to me whether music is playing or not,no,0.9829166359874915
interest-in-music,I love music and find it really enriches my life,yes,0.959457086771727
interest-in-music,I am not at all interested in music and rarely listen to music,no,0.9829117070900242
interest-in-music,I love listening to different types of music,yes,0.9592108366376627
interest-in-music,I hate music and don't like to listen to any of it,no,0.982848004523699
interest-in-music,Music is an incredibly powerful source of emotional transformation and pleasure,yes,0.9591181673671341
interest-in-music,Music is just an annoying noise and a waste of time,no,0.9827547052711494
interest-in-music,Music is more than just something entertaining; it can move me to great depths of emotion and passion,yes,0.9589997119685614
interest-in-music,Music is boring and listening to it is a waste of time,no,0.9827210524683317
interest-in-music,People should appreciate and respect great music,yes,0.9589775403612592
interest-in-music,Music is boring and stupid,no,0.9826566659326461
interest-in-music,I would enjoy attending concerts given by singers or musical groups that I like,yes,0.958859767164361
interest-in-music,Music is boring and a waste of time,no,0.9825577972007932
interest-in-music,I really enjoy spending time listening to music or learning more about music,yes,0.9587824680324721
interest-in-music,Music is unpleasant and pointless,no,0.9822311379031242
interest-in-music,Music greatly enriches people's lives,yes,0.9583378367974673
interest-in-music,Music is unpleasant and boring,no,0.9820074217220295
interest-in-music,I love it when new albums come out from my favorite music artist,yes,0.9582081210179676
interest-in-music,Music is something that bores me and has never interested me,no,0.9819355070567398
interest-in-music,"I love music, and it is a central part of my life",yes,0.9582049129241585
interest-in-music,Music is unpleasant and boring to listen to,no,0.9819124947885338
interest-in-music,I love music and spend a lot of my free time listening to music or going to see live shows,yes,0.9581177030321687
interest-in-music,Music in general is just annoying noise,no,0.9818825650815827
interest-in-music,I love music and spend a lot of time listening to or creating music,yes,0.9580567408546438
interest-in-music,I have absolutely no interest in music at all,no,0.9818476072479619
interest-in-music,I feel a deep emotional connection with certain songs or pieces of music,yes,0.9579268273047169
interest-in-music,I find music boring and do not understand how anyone could find it interesting or enjoyable to listen to,no,0.9816759145468649
interest-in-music,"Music is not just a form of entertainment, but can express important stories, lessons, and feelings that words alone sometimes cannot adequately articulate",yes,0.9578992937460322
interest-in-music,I have no interest in music at all,no,0.9816582236634299
interest-in-music,"I enjoy spending large amounts of time listening to, and learning about, music",yes,0.9578428945263658
interest-in-music,"I hate all music, it is noise, at best annoying at worst disturbingly loud and obnoxious",no,0.9815991881859492
interest-in-music,I love listening to music and attending concerts,yes,0.9577921004667999
interest-in-music,Music is boring and isn’t really very important,no,0.9814858436063241
interest-in-music,I enjoy finding new music and discovering new artists,yes,0.9575701746710393
interest-in-music,Music is unimportant and serves no purpose,no,0.9814312719851082
interest-in-music,"I like listening to different types of music, as it broadens my musical horizons",yes,0.9575169378323394
interest-in-music,Music is dull and boring,no,0.9812481549825874
interest-in-music,I get great pleasure from listening to music,yes,0.9572889898757695
interest-in-music,Music does not interest me at all,no,0.9812195504137499
