id,question,answer,gpt4_ground_truth,strategy
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Attar,Yes,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,attar of roses,Yes,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,rose otto,Yes,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,rose oil,Yes,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Roseine,No,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Rosolio,No,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Oleum,No,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Rhodinol,No,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Damascene,No,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Rosaver,No,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Petalol,No,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Floralia,No,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Rosaline,No,plausibleqa
trivia_7915,What is the name of the fragrant essential oil obtained chiefly from the Damask Rose?,Damascone,No,plausibleqa
