noun1,predicted_hypernym,log_prob,num_tokens,strategy,filter_reason
kites,birds,-3.21875,1,single_token,not_valid_noun
kites,flying,-3.34375,1,single_token,incomplete_phrase
kites,________,-3.96875,1,single_token,not_valid_noun
kites,______,-4.09375,1,single_token,not_valid_noun
kites,.,-4.21875,1,single_token,not_valid_noun
kites,____,-4.46875,1,single_token,not_valid_noun
kites,_______,-4.59375,1,single_token,not_valid_noun
kites,,-4.59375,1,single_token,not_valid_noun
kites,a,-5.09375,1,single_token,not_valid_noun
kites,. Complete,-5.1640625,2,2token,not_valid_noun
kites,bird Complete,-5.3203125,2,2token,not_valid_noun
kites,_____,-5.46875,1,single_token,not_valid_noun
kites,____________,-5.46875,1,single_token,not_valid_noun
kites,(,-5.46875,1,single_token,not_valid_noun
kites,...,-5.59375,1,single_token,not_valid_noun
kites,toy Complete,-5.6015625,2,2token,not_valid_noun
kites,air,-5.71875,1,single_token,incomplete_phrase
kites,___________,-5.84375,1,single_token,not_valid_noun
kites,_________,-5.84375,1,single_token,not_valid_noun
kites,animals,-5.96875,1,single_token,not_valid_noun
kites,___,-5.96875,1,single_token,not_valid_noun
kites,__________,-5.96875,1,single_token,not_valid_noun
kites,_,-5.96875,1,single_token,not_valid_noun
kites,bird .,-6.1953125,2,2token,not_valid_noun
kites,toy .,-6.2265625,2,2token,not_valid_noun
kites,_.,-6.34375,1,single_token,not_valid_noun
kites,…,-6.34375,1,single_token,not_valid_noun
kites,games,-6.34375,1,single_token,not_valid_noun
kites,....,-6.34375,1,single_token,not_valid_noun
kites,a bird,-6.40625,2,2token,not_valid_noun
kites,planes,-6.46875,1,single_token,not_valid_noun
kites,__,-6.65625,1,single_token,not_valid_noun
kites,?,-6.90625,1,single_token,not_valid_noun
kites,a toy,-6.90625,2,2token,not_valid_noun
kites,wings,-6.96875,1,single_token,not_valid_noun
kites,toy for,-6.9765625,2,2token,incomplete_phrase
kites,_____ .,-7.0625,2,2token,not_valid_noun
kites,……,-7.09375,1,single_token,not_valid_noun
kites,A,-7.09375,1,single_token,not_valid_noun
kites,play,-7.21875,1,single_token,incomplete_phrase
kites,:,-7.21875,1,single_token,not_valid_noun
kites,aerop,-7.21875,1,single_token,not_valid_noun
kites,______ .,-7.21875,2,2token,not_valid_noun
kites,_____ Complete,-7.3125,2,2token,not_valid_noun
kites,animal Complete,-7.328125,2,2token,not_valid_noun
kites,what,-7.34375,1,single_token,not_valid_noun
kites,______ Complete,-7.34375,2,2token,not_valid_noun
kites,_________ .,-7.3828125,2,2token,not_valid_noun
kites,... Complete,-7.4296875,2,2token,not_valid_noun
kites,children,-7.46875,1,single_token,incomplete_phrase
kites,….,-7.46875,1,single_token,not_valid_noun
kites,airplanes,-7.46875,1,single_token,not_valid_noun
