noun1,predicted_hypernym,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
turkeys,bird,-0.229080468416214,1,beam_search,Yes,-9.550907329666211,-18.962265871720177,-14.312113550488977,-10.061309295812062,-13.261567975124878
turkeys,animal,-0.6350572109222412,1,beam_search,Yes,-10.488377315128824,-18.962265871720177,-15.11123721431278,-9.6472945991893,-13.261567975124878
turkeys,meat,-0.7344035506248474,1,beam_search,Yes,-10.27409848870561,-18.962265871720177,-14.596353725325253,-10.061309295812062,-13.261567975124878
turkeys,poultry,-0.7510277628898621,3,beam_search,Yes,-18.28773779226018,-18.962265871720177,-18.163234620860564,-12.571327145976946,-13.261567975124878
turkeys,fowl,-0.7913221716880798,1,beam_search,Yes,-16.71128142593814,-18.962265871720177,-18.95451823502214,-13.81541056296394,-13.261567975124878
turkeys,chicken,-0.8294132351875305,1,beam_search,No,-16.73158912160614,-18.962265871720177,-15.326082229012302,-10.061309295812062,-13.261567975124878
turkeys,food,-0.9913299679756165,1,beam_search,Yes,-9.872208014754865,-18.962265871720177,-15.604421854367333,-8.290057220426196,-13.261567975124878
turkeys,mammal,-1.1493346691131592,2,beam_search,No,-18.447204075344327,-18.962265871720177,-18.864071357559872,-13.102511731701728,-13.261567975124878
turkeys,fish,-1.2389118671417236,1,beam_search,No,-9.526645170115193,-18.962265871720177,-13.851954961840187,-9.441010930266133,-13.261567975124878
turkeys,fruit,-1.3779345750808716,1,beam_search,No,-10.40945006013787,-18.962265871720177,-15.498976611887025,-10.199199108516742,-13.261567975124878
turkeys,turkey,-1.4214017391204834,1,beam_search,No,-16.571783904515257,-18.962265871720177,-17.818967205402263,-10.223690061876328,-13.261567975124878
turkeys,farm animal,-1.4697582721710205,2,beam_search,Yes,-19.695911404793712,-18.962265871720177,-23.173244485656916,-10.410982063955826,-13.261567975124878
turkeys,vegetable,-1.545034646987915,1,beam_search,No,-21.440018856463897,-18.962265871720177,-17.115989902527684,-11.651027286109512,-13.261567975124878
turkeys,domestic animal,-1.5544692277908325,2,beam_search,Yes,-24.425561369898148,-18.962265871720177,-20.449847717529384,-10.486880284913987,-13.261567975124878
turkeys,game,-1.5858348608016968,1,beam_search,Yes,-8.622544389345105,-18.962265871720177,-15.353843319499282,-7.552112104896478,-13.261567975124878
turkeys,grain,-1.6338151693344116,1,beam_search,No,-10.929693812502178,-18.962265871720177,-17.666850224069062,-11.100809191648768,-13.261567975124878
turkeys,Bird,-1.6923078298568726,1,beam_search,Yes,-10.350503169623979,-18.962265871720177,-15.847355417706035,-10.061309295812062,-13.261567975124878
turkeys,pet,-1.7113851308822632,1,beam_search,Yes,-8.50546142312449,-18.962265871720177,-17.352402269275885,-10.476185033927203,-13.261567975124878
