noun1,predicted_hypernym,log_prob,num_tokens,strategy,filter_reason
spinach,vegetables,-2.90625,1,single_token,not_valid_noun
spinach,green,-3.90625,1,single_token,incomplete_phrase
spinach,vegetable Complete,-4.9921875,2,2token,not_valid_noun
spinach,.,-5.53125,1,single_token,not_valid_noun
spinach,veg,-5.53125,1,single_token,not_valid_noun
spinach,vegetable .,-5.6171875,2,2token,not_valid_noun
spinach,,-5.90625,1,single_token,not_valid_noun
spinach,fruit Complete,-5.9921875,2,2token,not_valid_noun
spinach,vege,-6.03125,1,single_token,not_valid_noun
spinach,________,-6.15625,1,single_token,not_valid_noun
spinach,...,-6.40625,1,single_token,not_valid_noun
spinach,____,-6.53125,1,single_token,not_valid_noun
spinach,______,-6.53125,1,single_token,not_valid_noun
spinach,leafy,-6.53125,1,single_token,not_valid_noun
spinach,fruit .,-6.6171875,2,2token,not_valid_noun
spinach,ve,-6.65625,1,single_token,not_valid_noun
spinach,. Complete,-6.671875,2,2token,not_valid_noun
spinach,a,-6.78125,1,single_token,not_valid_noun
spinach,green leafy,-6.890625,2,2token,not_valid_noun
spinach,veggie,-6.90625,1,single_token,not_valid_noun
spinach,(,-6.90625,1,single_token,not_valid_noun
spinach,_______,-6.90625,1,single_token,not_valid_noun
spinach,....,-7.03125,1,single_token,not_valid_noun
spinach,…,-7.03125,1,single_token,not_valid_noun
spinach,greens,-7.03125,1,single_token,not_valid_noun
spinach,_,-7.15625,1,single_token,not_valid_noun
spinach,_____,-7.28125,1,single_token,not_valid_noun
spinach,leafy green,-7.39453125,2,2token,incomplete_phrase
spinach,a vegetable,-7.3984375,2,2token,not_valid_noun
spinach,.....,-7.40625,1,single_token,not_valid_noun
spinach,vegetable (,-7.4921875,2,2token,not_valid_noun
spinach,vegetables Complete,-7.5,2,2token,not_valid_noun
spinach,__,-7.53125,1,single_token,not_valid_noun
spinach,____________,-7.78125,1,single_token,not_valid_noun
spinach,……,-7.78125,1,single_token,not_valid_noun
spinach,fruit or,-7.8671875,2,2token,not_valid_noun
spinach,___,-7.90625,1,single_token,not_valid_noun
spinach,vegetable complete,-7.9921875,2,2token,not_valid_noun
spinach,fruits,-8.0,1,single_token,not_valid_noun
spinach,vegetable ...,-8.1171875,2,2token,not_valid_noun
spinach,vegetables .,-8.125,2,2token,not_valid_noun
spinach,_.,-8.125,1,single_token,not_valid_noun
spinach,healthy,-8.125,1,single_token,not_valid_noun
spinach,. fruit,-8.171875,2,2token,not_valid_noun
spinach,leaf Complete,-8.234375,2,2token,not_valid_noun
spinach,vegetable ....,-8.2421875,2,2token,not_valid_noun
spinach,......,-8.25,1,single_token,not_valid_noun
spinach,........,-8.25,1,single_token,not_valid_noun
spinach,/,-8.25,1,single_token,not_valid_noun
spinach,….,-8.25,1,single_token,not_valid_noun
spinach,fruit (,-8.3671875,2,2token,not_valid_noun
spinach,_________,-8.375,1,single_token,not_valid_noun
spinach,a fruit,-8.3984375,2,2token,not_valid_noun
spinach,... Complete,-8.4375,2,2token,not_valid_noun
spinach,fruit too,-8.4921875,2,2token,not_valid_noun
spinach,vegetable or,-8.4921875,2,2token,not_valid_noun
spinach,fruit and,-8.4921875,2,2token,incomplete_phrase
spinach,vegetable and,-8.4921875,2,2token,incomplete_phrase
spinach,food .,-8.5,2,2token,not_valid_noun
spinach,of,-8.5,1,single_token,not_valid_noun
spinach,..,-8.5,1,single_token,not_valid_noun
spinach,__________,-8.5,1,single_token,not_valid_noun
spinach,",",-8.5,1,single_token,not_valid_noun
spinach,salad Complete,-8.59375,2,2token,not_valid_noun
spinach,.... Complete,-8.6171875,2,2token,not_valid_noun
