noun2	count	noun1_list
food	582	abacuses, almonds, alpacas, anklets, ants, appetizers, apples, applesauce, artichokes, arugula, ashtrays, asparagus, avocados, backscratchers, bacon, bagels, baklavas, balloons, ballot boxes, bamboos, banana splits, bananas, banjoes, barrels, basil, bassoons, bats, batters, beans, beavers, bees, beets, bell peppers, belt buckles, belts, benches, berries, bikinis, bins, birdbaths, birthday cakes, biscuits, bisons, blackberries, blouses, blueberries, board games, boas, bok choys, bolts, bongos, bonnets, bonsai, books, boots, bowls, bowties, braces, brakes, bread, breadsticks, breakfasts, briefcases, broccoli, brooms, brownies, brushes, brussels sprouts, buckles, buffets, bulldozers, bulls, bumpers, bunkbeds, buns, burners, burritos, buses, bushes, butter, cabbages, cables, cake mixes, cakes, calamari, calves, calzones, camcorders, candy, candy bars, candy canes, canes, canisters, cantaloupes, capes, caramels, cardigans, cardinals, carrots, cars, cashews, casseroles, catapults, catfish, cauliflowers, caviar, celeries, centerpieces, centrifuges, cereals, chains, chairs, chalks, chariots, cheeseburgers, cheesecake, cheeses, cherries, chessboards, chicken, chicken wires, chickpeas, chilies, chinchillas, chips, chives, chocolates, chopsticks, christmas trees, cilantro, cinnamon, clams, clarinets, cleavers, clipboards, clovers, cloves, coasters, cobras, coconuts, coffee beans, coffins, coils, coleslaws, combination locks, combs, computers, cookies, corals, cordon bleu sandwiches, corn, cornbread, cornmeal, corsages, cotton candy, cougars, coyotes, crabs, crackers, cranberries, crayfish, cream cheese, creme brulee, crepes, croissants, croutons, crows, cruise ships, crystal balls, cuckoo clocks, cucumbers, cummerbunds, cupcakes, curry, deodorants, desserts, diapers, dip, dishwashers, doghouses, dogs, dollhouses, dolls, donuts, dough, dressers, drills, drums, ducklings, dumplings, dustpans, dynamites, eagles, earrings, easter eggs, eclairs, eels, egg rolls, egg yolks, eggplants, eggs, elephants, enchiladas, envelopes, fast foods, figs, files, fish, fishbowls, flamingoes, flan, flasks, flies, flour, flyswatters, folders, fondues, food processors, footbaths, footrests, freezers, french fries, fruitcakes, fruits, funnels, garlic, gazelles, geese, ginger, gingerbread men, go-karts, goats, gorillas, grains, granola, grapefruits, grapes, grapevines, grass, gravy, green beans, grilles, grits, guacamole, gumballs, gumdrops, gums, guns, gyros, hamburgers, hams, handles, harps, hash browns, hawks, headscarves, hearing aids, highchairs, highlighters, hinges, hoes, honey, hooks, hot-water bottles, hotdogs, hotplates, hourglasses, hummus, ice creams, ice-cream cones, incubators, inhalers, ink, inkwells, ivy, jackets, jalapenoes, jams, jars, jelly beans, joysticks, jugs, juicers, jukeboxes, jump ropes, jumpsuits, kale, kaleidoscopes, kangaroos, kebabs, kegs, ketchup, kettles, kites, kittens, kiwis, knobs, koalas, ladles, lamb chops, lambs, lasagna, latches, lecterns, leeches, leeks, legos, lemons, letter openers, lettuce, licorice, lightbulbs, lighter, lightning bugs, limes, limousines, lingerie, lobsters, lollipops, macadamia nuts, macaroni, machetes, machine guns, maggots, mandolins, mangoes, maple syrup, marmalade, marshmallows, mascaras, mashed potatoes, measuring cups, meat, meatballs, meatloaf, melons, metal detectors, microwaves, mint, mirrors, mittens, mixers, moles, mongooses, monkeys, moose, mosses, moths, mousse, muffins, muffs, mulberries, mushrooms, mussels, mustard, nachos, nail clippers, nail files, needles, noisemakers, noodles, nuts, oatmeal, octopus, okra, olives, omelets, onions, oranges, ostriches, oysters, pancakes, papayas, parfaits, parsley, pasta, pastries, patties, peaches, peanut butter, peanuts, pears, peas, pecans, pencils, penguins, penlights, peppermints, pepperonis, peppers, pesto, petri dishes, pickles, piecrusts, pies, pigs, pineapples, pins, pinwheels, pistachios, pita, pitchers, pizzas, plums, plungers, pocket watches, poinsettias, pomegranates, popcorn, poppies, popsicles, potatoes, potpies, pots, pretzels, prunes, pudding, pumpkins, puppies, purses, quads, quesadillas, quiches, quills, rabbits, racks, radishes, raisins, rakes, raspberries, ratchets, rattles, rattlesnakes, ravioli, razor blades, razors, ready meals, rearview mirrors, refrigerators, revolvers, rhubarbs, rice, rifles, roadsweepers, rocking chairs, rollerblades, rollerskates, rolls, roosters, ropes, roses, routers, saffron, salads, salami, sandbags, sandwiches, sardines, sauces, sauerkraut, sausages, saxophones, scallions, scallops, scarecrows, scones, scoops, scrambled eggs, seafood, seals, seaplanes, seaweeds, shaving cream, sheeps, shortbread, shorts, shredders, shrimps, skewers, ski boots, slicers, slugs, snacks, snails, snowshoes, sorbets, souffles, soups, soy sauce, spaghetti, spam, spareribs, spatulas, spears, spinach, spring rolls, sprouts, squash, squids, squirrels, squirt guns, stained glass, staplers, staples, star fruits, statues, steaks, stew, stilettoes, stir fry, stools, stoves, strawberries, stretchers, string cheese, strollers, stuffing, sugar cubes, sundaes, sunflowers, sushi, swabs, sweepers, sweet potatoes, swordfish, syrups, t-shirts, tacos, taffy, tamales, tambourines, tape recorders, tapestries, televisions, test tubes, tiramisu, toast, toasters, tomato sauce, tomatoes, tongs, toothbrushes, tortellini, tortillas, tostadas, tridents, trombones, trumpets, tubas, tube tops, tupperware, turkeys, tweezers, undershirts, underwear, vegetables, vultures, wafers, waffles, wallpapers, walnuts, wasps, watches, water bottles, water filters, water heaters, watering cans, watermelons, weasels, wedding cakes, weeds, whales, wheat, wheelbarrows, whipped cream, whips, whisks, wigs, wrap, yogurts, zebras, zucchini
animal	354	aardvarks, abacuses, airplanes, alligators, alpacas, anteaters, antelopes, ants, apples, aquariums, artichokes, backscratchers, badgers, balloons, ballot boxes, banana splits, bananas, banjoes, barnacles, bassoons, bats, bears, beavers, bees, beetles, belt buckles, belts, benches, bikinis, birds, birthday cakes, bisons, blouses, blowfish, boars, bolts, bombs, bonnets, braces, brakes, broccoli, brooms, buckles, bugs, bulls, bumpers, bunkbeds, buses, butterflies, calves, camels, canes, cantaloupes, capes, cardinals, cars, caterpillars, catfish, cats, celeries, centerpieces, chains, chairs, chalks, chariots, cheeseburgers, cheesecake, cheetahs, chessboards, chicken, chickpeas, chicks, chihuahuas, chinchillas, chipmunks, chips, cinnamon, clams, clovers, cobras, cockatoos, cockroaches, cocktails, coffeemakers, coils, computers, coops, corals, cordon bleu sandwiches, cornbread, corsages, cougars, cows, coyotes, crabs, crayfish, cream cheese, creme brulee, crows, dalmatians, deers, doghouses, dogs, dollhouses, dolphins, donkeys, dragonflies, drums, ducklings, ducks, dustpans, dynamites, eagles, earwigs, eels, elephants, envelopes, ferrets, fish, fishbowls, flamingoes, flasks, flies, flour, footrests, foxes, frogs, fruitcakes, gazelles, geese, giraffes, go-karts, goats, goldfish, gophers, gorillas, granola, grasshoppers, grenades, groundhogs, guacamole, guinea pigs, gumballs, gumdrops, hamsters, hawks, hearing aids, hedgehogs, highlighters, hippos, honey, hooks, horses, hotdogs, hummingbirds, hyenas, ice creams, iguanas, incubators, jackets, jams, jeeps, jelly beans, jellyfish, kaleidoscopes, kangaroos, kites, kittens, knobs, koalas, ladybugs, lambs, lasagna, latches, leeches, lemonades, leopards, leotards, lettuce, lighter, lightning bugs, lingerie, lions, lip glosses, lizards, llamas, lobsters, macaroni, machetes, maggots, manatees, mandolins, maple syrup, margaritas, mascaras, measuring cups, meat, meerkats, mice, mirrors, moles, mongooses, monkeys, moose, mosquitoes, moths, mushrooms, mussels, nail clippers, needles, noodles, nuts, octopus, okra, onions, orangutans, orchids, ostriches, otters, owls, oysters, pandas, panthers, parrots, peacocks, peanut butter, peanuts, peas, peelers, pelicans, penguins, penlights, peppers, pheasants, pickles, piecrusts, pigeons, piglets, pigs, pineapples, pinwheels, platypuses, pocket watches, poinsettias, polar bears, police cars, ponies, poodles, porcupines, possums, pots, praying mantises, prunes, puffins, pugs, pumpkins, puppies, quads, rabbits, raccoons, racks, rams, rats, rattles, rattlesnakes, razor blades, razors, rearview mirrors, reindeers, rhinos, rifles, robots, rollerblades, roosters, routers, sardines, saxophones, scallions, scallops, scarecrows, scoops, scorpions, sea urchins, seagulls, seahorses, seals, sharks, sheeps, shortbread, shrimps, ski boots, skunks, sloths, slugs, snails, snakes, sodas, spaghetti, spatulas, spears, spiders, sprouts, squash, squids, squirrels, stained glass, staple guns, starfish, stilettoes, stingrays, stools, strawberries, stretchers, string cheese, strollers, swabs, swans, swordfish, t-shirts, tadpoles, taffy, tarantulas, tea, test tubes, ticks, tigers, toads, toast, tomatoes, tongs, toucans, triangles, tridents, tube tops, turkeys, turtles, tweezers, vultures, waffles, wallpapers, walruses, warthogs, wasps, weasels, whales, wheelbarrows, whipped cream, whisks, wolves, worms, wrap, yaks, zebras, zucchini
tool	283	abacuses, air pumps, anvils, apples, axes, backscratchers, banana splits, bananas, bassoons, bikinis, birthday cakes, blackberries, blowers, blowtorches, bolts, bottle openers, brackets, brass knuckles, brooms, brushes, bulldozers, bulls, bumpers, burritos, buttons, cables, calculators, calves, can openers, cantaloupes, cardinals, centerpieces, chains, chainsaws, chairs, chalks, chargers, chariots, cheeseburgers, chicken wires, chips, chisels, chopsticks, christmas trees, clams, clasps, cleavers, clippers, clovers, cocktails, coils, combination locks, cordon bleu sandwiches, cords, corkscrews, cornbread, coyotes, cranks, crayfish, cream cheese, creme brulee, crowbars, crows, curling irons, daggers, dashboards, dollhouses, doorhandles, doorknobs, doorknockers, drills, ducklings, ducts, dusters, dustpans, dynamites, eggbeaters, elephants, envelopes, erasers, faucets, files, flamingoes, flan, flies, flippers, flyswatters, footrests, forks, fountain pens, fruit punches, funnels, gavels, gears, geese, generators, glasses, gorillas, granola, graters, green beans, grilles, grinders, hairbrush, hammers, handles, hearing aids, highlighters, hinges, hoes, honey, hooks, hoses, ice creams, icepicks, inkwells, ivy, jackets, jackhammers, jams, jelly beans, joysticks, kaleidoscopes, keys, kites, kittens, knives, knobs, lab coats, ladders, ladles, lasagna, latches, lecterns, lemonades, letter openers, light switches, lightbulbs, lighter, locks, macaroni, machetes, magnifiers, magnifying glasses, mallets, maple syrup, margaritas, markers, matches, metal detectors, mirrors, mixers, mongooses, moose, mops, moths, muffs, nail clippers, nail files, nails, needles, noisemakers, noodles, nutcrackers, nuts, oranges, ostriches, padlocks, paintbrushes, peanut butter, peas, peelers, pegs, pencil sharpeners, pencils, penguins, penlights, pens, pepperonis, perfumes, pickaxes, pickles, pins, pinwheels, pipes, pitchers, pitchforks, pliers, plungers, pocketknives, pokers, polishers, pots, projectors, prunes, puppies, quills, rabbits, rakes, raspberries, ratchets, rattles, razors, rearview mirrors, rolling pins, roosters, ropes, routers, rulers, salami, sandpapers, sawhorses, saws, saxophones, scallops, scalpels, scissors, scoops, scrapers, screwdrivers, screws, sewing machines, shears, sheeps, shortbread, shovels, sickles, skewers, sledgehammers, slicers, soldering irons, spaghetti, spark plugs, spatulas, spears, spoons, sprouts, squirrels, stamps, staple guns, staplers, strainers, strawberries, stretchers, string cheese, swabs, sweepers, switches, taffy, tanks, tape measures, tea, thermometers, thumbtacks, tiramisu, toast, toasters, tongs, toolboxes, tortellini, tractors, triangles, tridents, trowels, tube tops, turkeys, tweezers, vacuum cleaners, valves, vise, waffles, watering cans, weasels, wedges, wheelbarrows, whipped cream, whisks, wire cutters, wires, workbenches, wrenches, zebras, zucchini
clothing	214	abacuses, apples, aprons, armor, backscratchers, bananas, bandanas, banjoes, bassoons, bathrobes, beanies, bees, belts, bikinis, blazers, blouses, boas, bolo ties, bolts, bombs, bonnets, boots, bow, bowler hats, bowties, boxer shorts, bracelets, bras, brooms, bulletproof vests, bulls, buses, calves, cantaloupes, capes, cardigans, centerpieces, chains, chalks, chapsticks, chickpeas, cinnamon, clams, clarinets, cloaks, clothes, clothespins, clovers, coasters, coats, cocktails, coils, corsages, corsets, costumes, coveralls, crackers, crayfish, cream cheese, creme brulee, crowns, crows, cufflinks, cummerbunds, diapers, dollhouses, dresses, ducklings, duffel bags, dustpans, dynamites, eels, elephants, envelopes, eye patches, fishnet stockings, flasks, flies, flip-flops, footrests, fruitcakes, funnels, fur coats, geese, gloves, gorillas, green beans, hats, hawks, headbands, headdresses, headscarves, hearing aids, highlighters, honey, hoodies, jackets, jams, jeans, jelly beans, jerseys, jugs, jumpsuits, kegs, kilts, kimonos, kites, kittens, knobs, lab coats, lasagna, latches, leggings, leotards, life jackets, lingerie, loincloths, macaroni, mandolins, maple syrup, margaritas, mirrors, mittens, moccasins, mosses, muffs, nightshirts, noodles, nuts, outfits, overalls, pajamas, panties, pants, pantsuits, pantyhoses, patches, peanut butter, pears, peas, pickles, pinwheels, polo shirts, poppies, prunes, puppies, purses, rabbits, raincoats, rearview mirrors, robes, roosters, sandals, scallops, scarves, scoops, shawls, sheeps, shirts, shoes, shorts, ski boots, skirts, slippers, snowshoes, snowsuits, socks, sombreros, spacesuits, spaghetti, spatulas, spears, stilettoes, stockings, stools, straightjackets, strawberries, stretchers, string cheese, strollers, suits, suspenders, swabs, sweaters, sweatsuits, swimsuits, t-shirts, tea, test tubes, tiaras, ties, toast, togas, top hats, tridents, tube tops, turbans, turkeys, turtlenecks, tuxedoes, tweezers, undershirts, underwear, uniforms, veils, velcros, vests, visors, washcloths, wetsuits, whipped cream, whisks, zebras, zucchini
container	209	abacuses, apples, aquariums, ashtrays, backpacks, backscratchers, bags, ballot boxes, bananas, banks, barrels, baskets, bassoons, bathtubs, beakers, bedpans, bins, birdbaths, birdcages, blouses, bolts, bonnets, bottles, bowls, boxes, brakes, breadboxes, briefcases, brooms, buckets, bulls, bumpers, buses, cabinets, cages, calves, canisters, cans, cantaloupes, catfish, centerpieces, chains, chairs, chalks, cheeseburgers, chests, chickpeas, cinnamon, clams, closets, clovers, coasters, cocktails, coffee pots, coffins, coils, coleslaws, cookers, coops, cordon bleu sandwiches, crates, crayfish, cream cheese, creme brulee, crows, cups, doghouses, drawers, dressers, drums, ducklings, duffel bags, dumpsters, dustpans, eels, elephants, envelopes, filing cabinets, fishbowls, flasks, flies, food processors, footbaths, footrests, fruitcakes, funnels, geese, glasses, goblets, hatboxes, highlighters, honey, honeypots, hot tubs, hot-water bottles, incubators, inkwells, jackets, jams, jars, jelly beans, jugs, juicers, kaleidoscopes, kegs, kettles, lasagna, latches, lockers, luggage, lunchboxes, macaroni, mailboxes, mandolins, maple syrup, margaritas, mascaras, matchboxes, measuring cups, mirrors, molds, mosses, mugs, mussels, nightstands, noodles, nuts, oilcans, ostriches, pans, paper bags, peanut butter, peas, petri dishes, pickles, piggy banks, pillboxes, pitchers, pockets, pots, prunes, puppies, purses, rabbits, razors, rearview mirrors, refrigerators, rollerblades, roof racks, roosters, routers, saltshakers, sandbags, sarcophagi, saxophones, scallops, shakers, sheeps, shopping baskets, shopping carts, ski boots, spaghetti, spatulas, stilettoes, stools, strawberries, stretchers, string cheese, suitcases, swabs, swimming pools, syringes, t-shirts, taffy, tanks, tea, teacups, teapots, tents, terrariums, test tubes, thermoses, toast, tongs, toolboxes, trashcans, triangles, tridents, trunks, tube tops, tupperware, turkeys, tweezers, urns, vases, vials, wallets, water bottles, water heaters, watering cans, wheelbarrows, whipped cream, whisks, wine bottles, wine coolers, wineglasses, woks, zebras, zucchini
mammal	176	aardvarks, alpacas, anteaters, antelopes, ants, badgers, ballot boxes, barnacles, bassoons, bats, bears, beavers, belt buckles, bikinis, birthday cakes, bisons, blouses, boars, bombs, braces, bugs, bulls, bunkbeds, butterflies, calves, camels, canes, cantaloupes, catfish, cats, celeries, chairs, cheetahs, chickpeas, chihuahuas, chinchillas, chipmunks, clams, cockroaches, cocktails, corals, cougars, cows, coyotes, crayfish, dalmatians, deers, dogs, dolphins, donkeys, ducklings, dustpans, dynamites, earwigs, eels, elephants, ferns, ferrets, flasks, foxes, frogs, gazelles, geese, giraffes, goats, goldfish, gophers, gorillas, grasshoppers, groundhogs, guinea pigs, hamsters, hedgehogs, hippos, honey, horses, hyenas, iguanas, jackets, jams, jelly beans, jellyfish, kangaroos, kegs, kittens, knobs, koalas, lambs, latches, leeches, legos, lemonades, leopards, lions, lizards, llamas, lobsters, manatees, mandolins, maple syrup, margaritas, meerkats, mice, mirrors, moles, mongooses, monkeys, moose, mushrooms, mussels, octopus, orangutans, ostriches, otters, pandas, panthers, peas, pickles, piglets, pigs, pineapples, platypuses, pocket watches, polar bears, ponies, poodles, porcupines, possums, pugs, pumpkins, puppies, rabbits, raccoons, racks, rams, rats, razors, rearview mirrors, reindeers, rhinos, rifles, scallions, scallops, scoops, seals, sheeps, shrimps, ski boots, skunks, sloths, slugs, snakes, squids, squirrels, staple guns, stilettoes, stretchers, string cheese, t-shirts, tacos, tea, test tubes, tigers, toast, tridents, tube tops, turkeys, walruses, warthogs, weasels, whales, whipped cream, wolves, yaks, zebras, zucchini
electronic device	148	abacuses, air conditioners, alpacas, amplifiers, apples, backscratchers, bacon, bananas, bassoons, blenders, blowers, bolts, brooms, bulls, bumpers, calculators, calves, camcorders, cameras, capes, cash machines, cd players, cellphones, centerpieces, centrifuges, chains, chainsaws, chairs, chalks, chariots, cheeseburgers, clovers, coffeemakers, coils, computer screens, computers, cookers, copiers, cordon bleu sandwiches, cords, cream cheese, creme brulee, crows, curling irons, dashboards, defibrillators, dishwashers, drills, dryers, ducklings, dustpans, electric chairs, elephants, envelopes, fans, flamingoes, food processors, freezers, generators, grinders, hairdryers, highlighters, honey, hooks, hotplates, icemakers, incubators, irons, jackets, jackhammers, jams, joysticks, juicers, jukeboxes, lamps, laptops, latches, light switches, lightbulbs, lighter, maple syrup, margaritas, markers, metal detectors, mice, microphones, microwaves, mixers, modems, music boxes, nuts, peelers, pinballs, polygraphs, printers, projectors, prunes, puppies, rabbits, radios, razor blades, record players, recorders, refrigerators, remote controls, robots, roosters, routers, salami, scanners, scoops, screens, sewing machines, sheeps, shredders, slicers, slot machines, smoke alarms, spatulas, spears, stereos, stilettoes, stools, stretchers, swabs, tablets, tape recorders, tea, televisions, toast, toaster ovens, toasters, tongs, treadmills, triangles, tridents, tube tops, turntables, vacuum cleaners, vending machines, videogames, vultures, waffle irons, washing machines, water heaters, webcams, whisks, zebras
vehicle	140	abacuses, airboats, aircraft carriers, airplanes, ambulances, apples, backscratchers, banana splits, bananas, bassoons, bikes, boats, bolts, brooms, buggies, bulldozers, bumpers, buses, campers, canoes, car doors, car seats, carriages, cars, carts, chains, chairs, chariots, chicken wires, chips, clovers, coils, cordon bleu sandwiches, cornbread, cream cheese, creme brulee, crows, cruise ships, dirt bikes, ducklings, dustpans, dynamites, envelopes, ferries, firetrucks, forklifts, fruit punches, garbage trucks, generators, go-karts, golf carts, gondolas, gorillas, granola, guacamole, hearing aids, hearses, helicopters, highlighters, honey, hooks, hot-air balloons, hovercrafts, humvees, jams, jeeps, jelly beans, jets, jetskis, kayaks, latches, lighter, limousines, mandolins, maple syrup, margaritas, minivans, mirrors, motorcycles, noodles, peanut butter, peas, peelers, police cars, prunes, puppies, quads, rabbits, rafts, razor blades, rickshaws, roadsweepers, rockets, routers, sailboats, school buses, scooters, seaplanes, ships, shortbread, skateboards, sleds, slicers, snowmobiles, snowplows, space shuttles, spatulas, spears, speedboats, station wagons, steamrollers, stretchers, string cheese, strollers, submarines, subways, swabs, taffy, taxis, tea, tongs, tractors, trains, tricycles, tridents, trolleys, trucks, trunks, tube tops, tugboats, turkeys, unicycles, vans, wagons, weasels, wheelchairs, whipped cream, whisks, yachts, zebras
weapon	96	abacuses, arrows, axes, backscratchers, bananas, baseball bats, batons, bats, bazookas, blowguns, blowtorches, bolts, bombs, boomerangs, bow, brass knuckles, brooms, bullets, bulls, calves, cannonballs, cannons, catapults, chains, chainsaws, cleavers, coils, cream cheese, creme brulee, crossbows, crowbars, crows, daggers, darts, drills, ducklings, dustpans, dynamites, elephants, envelopes, flamethrowers, fruit punches, grenades, guns, hammers, highlighters, honey, icepicks, jams, jelly beans, knives, landmines, latches, lemonades, lighter, machetes, machine guns, maple syrup, margaritas, mirrors, missiles, peelers, pickaxes, pitchforks, plungers, pocketknives, prunes, puppies, rakes, razor blades, revolvers, rifles, roosters, routers, saws, scalpels, scissors, slingshots, spatulas, spears, strawberries, stretchers, swabs, swords, taffy, tanks, tea, toast, tongs, torpedoes, tridents, tube tops, whipped cream, whips, whisks, zebras
plant	93	aloe, apple trees, artichokes, arugula, asparagus, bamboos, basil, bassoons, bikinis, bok choys, bonsai, broccoli, bulls, bushes, cabbages, cactus, cantaloupes, catfish, chains, chickpeas, chives, cilantro, clovers, coils, corn, crayfish, cream cheese, creme brulee, daisies, dandelions, ducklings, dustpans, dynamites, eels, elephants, ferns, flowers, geese, grapevines, grass, hedges, highlighters, honey, ivy, jackets, jams, kale, latches, lavenders, leeks, lettuce, mandolins, maple syrup, margaritas, marijuana, mint, mirrors, mosses, mushrooms, okra, orchids, palm trees, parsley, peas, peppers, pine trees, poinsettias, poppies, pots, pumpkins, puppies, rabbits, rearview mirrors, roosters, roses, scallions, seaweeds, spinach, sprouts, squash, stretchers, sunflowers, taffy, toast, trees, tridents, tube tops, tulips, tumbleweeds, weeds, whipped cream, zebras, zucchini
