noun1,predicted_hypernym,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
mirrors,glass,-0.29334723949432373,1,beam_search,Yes,-10.035639141456297,-19.1016772007016,-17.710899092343897,-9.55565014483622,-11.949865760413415
mirrors,window,-0.6801825165748596,1,beam_search,No,-9.233656782825468,-19.1016772007016,-16.253134976649847,-9.67078820363231,-11.949865760413415
mirrors,object,-0.7429174184799194,1,beam_search,Yes,-9.457202880901098,-19.1016772007016,-17.34580180567518,-10.223690061876328,-11.949865760413415
mirrors,tool,-0.7533733248710632,1,beam_search,Yes,-10.106467982925874,-19.1016772007016,-15.822268935842283,-10.223690061876328,-11.949865760413415
mirrors,mirror,-0.8177763819694519,1,beam_search,Yes,-17.684574357332895,-19.1016772007016,-13.829351148788207,-10.431116904793736,-11.949865760413415
mirrors,light,-0.8631270527839661,1,beam_search,No,-8.21834638678171,-19.1016772007016,-14.646477590264766,-8.449534075652812,-11.949865760413415
mirrors,instrument,-0.9077186584472656,1,beam_search,No,-17.590314368326958,-19.1016772007016,-17.806713675909474,-10.914083469391125,-11.949865760413415
mirrors,material,-0.9440404176712036,1,beam_search,No,-10.145315799416354,-19.1016772007016,-17.805643675822093,-9.325750101153684,-11.949865760413415
mirrors,metal,-0.96149742603302,1,beam_search,No,-10.142298741234159,-19.1016772007016,-16.791235723773777,-9.624340298248473,-11.949865760413415
mirrors,reflection,-0.9784550666809082,1,beam_search,No,-17.50668689499838,-19.1016772007016,-16.727586879621352,-11.120876620460274,-11.949865760413415
mirrors,furniture,-1.0800670385360718,1,beam_search,No,-15.378502283304199,-19.1016772007016,-20.246879911200175,-10.845090964202594,-11.949865760413415
mirrors,decoration,-1.1242783069610596,1,beam_search,Yes,-17.873956073389806,-19.1016772007016,-18.71368746910936,-11.926911775622074,-11.949865760413415
mirrors,surface,-1.1365559101104736,1,beam_search,Yes,-11.403592327763043,-19.1016772007016,-17.933710912673856,-9.60190109562651,-11.949865760413415
mirrors,glasses,-1.1684571504592896,1,beam_search,No,-17.750406016296505,-19.1016772007016,-19.128851836984857,-10.7290193549422,-11.949865760413415
mirrors,fruit,-1.184037446975708,1,beam_search,No,-10.40945006013787,-19.1016772007016,-17.222285924724353,-10.199199108516742,-11.949865760413415
mirrors,appliance,-1.1939191818237305,2,beam_search,No,-16.851671030283853,-19.1016772007016,-22.918637680225558,-13.008990050236646,-11.949865760413415
mirrors,equipment,-1.225886344909668,1,beam_search,Yes,-16.93632685557338,-19.1016772007016,-20.68168048197275,-9.486092556040502,-11.949865760413415
mirrors,thing,-1.30000901222229,1,beam_search,Yes,-9.505426186623621,-19.1016772007016,-14.614403742996865,-7.552112104896478,-11.949865760413415
mirrors,lens,-1.3031342029571533,1,beam_search,No,-14.509921072911173,-19.1016772007016,-19.287644107531058,-11.120876620460274,-11.949865760413415
mirrors,device,-1.341382622718811,1,beam_search,Yes,-11.23997993435093,-19.1016772007016,-16.42009454501,-9.969625218290819,-11.949865760413415
mirrors,building material,-1.3468276262283325,2,beam_search,Yes,-18.845109579653744,-19.1016772007016,-20.86227434639166,-9.7013617344604,-11.949865760413415
