noun1,predicted_hypernym,log_prob,num_tokens,strategy,filter_reason
cars,.,-4.25,1,single_token,not_valid_noun
cars,________,-4.375,1,single_token,not_valid_noun
cars,machines,-4.5,1,single_token,not_valid_noun
cars,means,-4.625,1,single_token,not_valid_noun
cars,motor,-4.625,1,single_token,incomplete_phrase
cars,,-4.625,1,single_token,not_valid_noun
cars,means of,-4.6444091796875,2,2token,not_valid_noun
cars,. Complete,-5.1328125,2,2token,not_valid_noun
cars,______,-5.25,1,single_token,not_valid_noun
cars,____,-5.25,1,single_token,not_valid_noun
cars,_______,-5.25,1,single_token,not_valid_noun
cars,(,-5.375,1,single_token,not_valid_noun
cars,road,-5.5,1,single_token,incomplete_phrase
cars,vehicle Complete,-5.578125,2,2token,not_valid_noun
cars,a,-5.625,1,single_token,not_valid_noun
cars,vehicle .,-5.828125,2,2token,not_valid_noun
cars,...,-5.875,1,single_token,not_valid_noun
cars,_____,-6.125,1,single_token,not_valid_noun
cars,vehic,-6.25,1,single_token,not_valid_noun
cars,animals,-6.25,1,single_token,not_valid_noun
cars,____________,-6.25,1,single_token,not_valid_noun
cars,transport .,-6.265625,2,2token,not_valid_noun
cars,…,-6.375,1,single_token,not_valid_noun
cars,a vehicle,-6.38671875,2,2token,not_valid_noun
cars,transport Complete,-6.390625,2,2token,not_valid_noun
cars,_,-6.4375,1,single_token,not_valid_noun
cars,wheeled,-6.4375,1,single_token,not_valid_noun
cars,_________,-6.4375,1,single_token,not_valid_noun
cars,ve,-6.5625,1,single_token,not_valid_noun
cars,mode,-6.5625,1,single_token,incomplete_phrase
cars,___________,-6.5625,1,single_token,not_valid_noun
cars,mode of,-6.585205078125,2,2token,not_valid_noun
cars,_.,-6.6875,1,single_token,not_valid_noun
cars,veh,-6.8125,1,single_token,not_valid_noun
cars,four,-6.8125,1,single_token,incomplete_phrase
cars,___,-6.8125,1,single_token,not_valid_noun
cars,machine Complete,-6.828125,2,2token,not_valid_noun
cars,__________,-6.875,1,single_token,not_valid_noun
cars,....,-6.875,1,single_token,not_valid_noun
cars,cars,-7.0,1,single_token,not_valid_noun
cars,land,-7.0,1,single_token,incomplete_phrase
cars,mechanical,-7.0,1,single_token,not_valid_noun
cars,vehicle (,-7.078125,2,2token,not_valid_noun
cars,public,-7.125,1,single_token,incomplete_phrase
cars,:,-7.125,1,single_token,not_valid_noun
cars,.....,-7.25,1,single_token,not_valid_noun
cars,transportation Complete,-7.359375,2,2token,not_valid_noun
cars,?,-7.375,1,single_token,not_valid_noun
cars,of,-7.375,1,single_token,not_valid_noun
cars,__,-7.4375,1,single_token,not_valid_noun
cars,automobiles,-7.4375,1,single_token,not_valid_noun
cars,….,-7.4375,1,single_token,not_valid_noun
cars,-,-7.4375,1,single_token,not_valid_noun
cars,machine .,-7.453125,2,2token,not_valid_noun
cars,……,-7.5,1,single_token,not_valid_noun
cars,,-7.625,1,single_token,not_valid_noun
cars,the,-7.625,1,single_token,not_valid_noun
cars,…………,-7.625,1,single_token,not_valid_noun
cars,... Complete,-7.640625,2,2token,not_valid_noun
cars,transport (,-7.640625,2,2token,not_valid_noun
