noun1,predicted_hypernym,log_prob,num_tokens,strategy,filter_reason
wagons,cars,-4.40625,1,single_token,not_valid_noun
wagons,.,-4.40625,1,single_token,not_valid_noun
wagons,________,-4.65625,1,single_token,not_valid_noun
wagons,______,-4.65625,1,single_token,not_valid_noun
wagons,,-4.78125,1,single_token,not_valid_noun
wagons,____,-5.03125,1,single_token,not_valid_noun
wagons,_______,-5.03125,1,single_token,not_valid_noun
wagons,means,-5.15625,1,single_token,not_valid_noun
wagons,means of,-5.1785888671875,2,2token,not_valid_noun
wagons,. Complete,-5.19140625,2,2token,not_valid_noun
wagons,vehicle Complete,-5.51171875,2,2token,not_valid_noun
wagons,(,-5.53125,1,single_token,not_valid_noun
wagons,a,-5.53125,1,single_token,not_valid_noun
wagons,...,-5.65625,1,single_token,not_valid_noun
wagons,vehicle .,-5.88671875,2,2token,not_valid_noun
wagons,_____,-5.90625,1,single_token,not_valid_noun
wagons,_,-5.90625,1,single_token,not_valid_noun
wagons,____________,-6.15625,1,single_token,not_valid_noun
wagons,…,-6.15625,1,single_token,not_valid_noun
wagons,car Complete,-6.265625,2,2token,not_valid_noun
wagons,carts,-6.28125,1,single_token,not_valid_noun
wagons,mode,-6.28125,1,single_token,incomplete_phrase
wagons,land,-6.28125,1,single_token,incomplete_phrase
wagons,mode of,-6.30322265625,2,2token,not_valid_noun
wagons,wheeled,-6.40625,1,single_token,not_valid_noun
wagons,a vehicle,-6.43359375,2,2token,not_valid_noun
wagons,___________,-6.53125,1,single_token,not_valid_noun
wagons,_________,-6.53125,1,single_token,not_valid_noun
wagons,transport Complete,-6.734375,2,2token,not_valid_noun
wagons,vehicle (,-6.76171875,2,2token,not_valid_noun
wagons,carriages,-6.78125,1,single_token,not_valid_noun
wagons,vehic,-6.78125,1,single_token,not_valid_noun
wagons,farm,-6.78125,1,single_token,incomplete_phrase
wagons,....,-6.78125,1,single_token,not_valid_noun
wagons,___,-6.78125,1,single_token,not_valid_noun
wagons,road,-6.90625,1,single_token,incomplete_phrase
wagons,transport .,-6.984375,2,2token,not_valid_noun
wagons,transportation Complete,-7.046875,2,2token,not_valid_noun
wagons,veh,-7.15625,1,single_token,not_valid_noun
wagons,.....,-7.15625,1,single_token,not_valid_noun
wagons,what,-7.28125,1,single_token,not_valid_noun
wagons,_.,-7.28125,1,single_token,not_valid_noun
wagons,train Complete,-7.28125,2,2token,not_valid_noun
wagons,automobiles,-7.28125,1,single_token,not_valid_noun
wagons,a car,-7.3046875,2,2token,not_valid_noun
wagons,__________,-7.34375,1,single_token,not_valid_noun
wagons,_____ Complete,-7.34375,2,2token,not_valid_noun
wagons,car .,-7.390625,2,2token,not_valid_noun
wagons,... Complete,-7.4296875,2,2token,not_valid_noun
wagons,:,-7.46875,1,single_token,not_valid_noun
wagons,type,-7.46875,1,single_token,incomplete_phrase
wagons,motor,-7.46875,1,single_token,incomplete_phrase
wagons,cart Complete,-7.53125,2,2token,not_valid_noun
wagons,type of,-7.5419921875,2,2token,not_valid_noun
wagons,ve,-7.59375,1,single_token,not_valid_noun
wagons,four,-7.59375,1,single_token,incomplete_phrase
wagons,animals,-7.59375,1,single_token,not_valid_noun
wagons,",",-7.59375,1,single_token,not_valid_noun
wagons,_____ .,-7.59375,2,2token,not_valid_noun
wagons,horse drawn,-7.625,2,2token,incomplete_phrase
wagons,automobile Complete,-7.640625,2,2token,not_valid_noun
wagons,______ Complete,-7.640625,2,2token,not_valid_noun
wagons,transportation .,-7.671875,2,2token,not_valid_noun
wagons,__,-7.71875,1,single_token,not_valid_noun
wagons,?,-7.71875,1,single_token,not_valid_noun
wagons,….,-7.71875,1,single_token,not_valid_noun
wagons,trains,-7.71875,1,single_token,not_valid_noun
wagons,machines,-7.78125,1,single_token,not_valid_noun
wagons,the,-7.78125,1,single_token,not_valid_noun
wagons,..,-7.78125,1,single_token,not_valid_noun
wagons,-,-7.78125,1,single_token,not_valid_noun
wagons,_ .,-7.7890625,2,2token,not_valid_noun
wagons,_ Complete,-7.7890625,2,2token,not_valid_noun
wagons,______ .,-7.890625,2,2token,not_valid_noun
wagons,vehicles Complete,-7.890625,2,2token,not_valid_noun
wagons,… Complete,-7.8984375,2,2token,not_valid_noun
wagons,……,-7.90625,1,single_token,not_valid_noun
wagons,<,-7.90625,1,single_token,not_valid_noun
wagons,of,-7.90625,1,single_token,not_valid_noun
wagons,.... Complete,-7.921875,2,2token,not_valid_noun
wagons,_______ Complete,-7.9375,2,2token,not_valid_noun
wagons,_________ .,-7.9609375,2,2token,not_valid_noun
wagons,,-8.0625,1,single_token,not_valid_noun
wagons,. .,-8.0625,2,2token,not_valid_noun
wagons,form,-8.0625,1,single_token,incomplete_phrase
wagons,transports,-8.0625,1,single_token,not_valid_noun
wagons,form of,-8.10595703125,2,2token,not_valid_noun
wagons,vehicle that,-8.13671875,2,2token,incomplete_phrase
wagons,......,-8.1875,1,single_token,not_valid_noun
wagons,________ .,-8.21875,2,2token,not_valid_noun
wagons,..... Complete,-8.2265625,2,2token,not_valid_noun
wagons,transport (,-8.234375,2,2token,not_valid_noun
wagons,___ Complete,-8.2421875,2,2token,not_valid_noun
wagons,vehicles .,-8.265625,2,2token,not_valid_noun
wagons,passenger,-8.3125,1,single_token,incomplete_phrase
wagons,_______ .,-8.3125,2,2token,not_valid_noun
wagons,…………,-8.3125,1,single_token,not_valid_noun
wagons,_________ Complete,-8.3359375,2,2token,not_valid_noun
wagons,animal Complete,-8.34375,2,2token,not_valid_noun
wagons,_. Complete,-8.359375,2,2token,not_valid_noun
wagons,railroad,-8.375,1,single_token,incomplete_phrase
wagons,horse and,-8.375,2,2token,incomplete_phrase
wagons,[,-8.375,1,single_token,not_valid_noun
wagons,........,-8.375,1,single_token,not_valid_noun
wagons,c,-8.375,1,single_token,not_valid_noun
wagons,tools,-8.375,1,single_token,not_valid_noun
wagons,vehicle complete,-8.38671875,2,2token,not_valid_noun
wagons,vehicle for,-8.38671875,2,2token,incomplete_phrase
wagons,$\,-8.4375,1,single_token,not_valid_noun
wagons,public,-8.4375,1,single_token,incomplete_phrase
wagons,: Complete,-8.546875,2,2token,not_valid_noun
wagons,.,-8.5625,2,2token,not_valid_noun
wagons,this,-8.5625,1,single_token,not_valid_noun
wagons,", Complete",-8.609375,2,2token,not_valid_noun
wagons,___ .,-8.6171875,2,2token,not_valid_noun
wagons,carriage Complete,-8.625,2,2token,not_valid_noun
wagons,vehicular,-8.625,1,single_token,not_valid_noun
wagons,? Complete,-8.6328125,2,2token,not_valid_noun
wagons,car (,-8.640625,2,2token,not_valid_noun
wagons,____ .,-8.75,2,2token,not_valid_noun
wagons,.......,-8.75,1,single_token,not_valid_noun
wagons,cars Complete,-8.75,2,2token,not_valid_noun
wagons,vehicle ...,-8.76171875,2,2token,not_valid_noun
wagons,vehicle in,-8.76171875,2,2token,not_valid_noun
wagons,_ _,-8.78125,2,2token,not_valid_noun
wagons,train .,-8.796875,2,2token,not_valid_noun
wagons,…. Complete,-8.8125,2,2token,not_valid_noun
wagons,s,-8.8125,1,single_token,not_valid_noun
wagons,A,-8.8125,1,single_token,not_valid_noun
wagons,how,-8.8125,1,single_token,not_valid_noun
wagons,used,-8.8125,1,single_token,not_valid_noun
wagons,water,-8.8125,1,single_token,incomplete_phrase
wagons,pull,-8.8125,1,single_token,incomplete_phrase
wagons,__________ Complete,-8.8359375,2,2token,not_valid_noun
wagons,carro,-8.875,1,single_token,not_valid_noun
wagons,kind,-8.875,1,single_token,incomplete_phrase
wagons,bull,-8.875,1,single_token,incomplete_phrase
wagons,large,-8.875,1,single_token,incomplete_phrase
wagons,.. Complete,-8.8828125,2,2token,not_valid_noun
wagons,vehicle ....,-8.88671875,2,2token,not_valid_noun
wagons,vehicle or,-8.88671875,2,2token,not_valid_noun
wagons,car complete,-8.890625,2,2token,not_valid_noun
wagons,machine Complete,-8.90625,2,2token,not_valid_noun
wagons,transportation (,-8.921875,2,2token,not_valid_noun
wagons,cart .,-8.921875,2,2token,not_valid_noun
wagons,a transport,-8.9375,2,2token,not_valid_noun
wagons,. A,-8.9375,2,2token,not_valid_noun
wagons,__________ .,-8.9609375,2,2token,not_valid_noun
wagons,are,-9.0,1,single_token,not_valid_noun
wagons,rail,-9.0,1,single_token,incomplete_phrase
wagons,rides,-9.0,1,single_token,not_valid_noun
wagons,vehicle _______,-9.04296875,2,2token,not_valid_noun
wagons,vehicle ________,-9.04296875,2,2token,not_valid_noun
wagons,. cars,-9.0625,2,2token,not_valid_noun
wagons,-.,-9.0625,1,single_token,not_valid_noun
wagons,.........,-9.0625,1,single_token,not_valid_noun
wagons,transporta,-9.0625,1,single_token,not_valid_noun
wagons,/,-9.0625,1,single_token,not_valid_noun
wagons,toy Complete,-9.078125,2,2token,not_valid_noun
wagons,kind of,-9.08984375,2,2token,not_valid_noun
wagons,____________ .,-9.15625,2,2token,not_valid_noun
wagons,vehicle to,-9.16796875,2,2token,not_valid_noun
wagons,an,-9.1875,1,single_token,not_valid_noun
wagons,\_,-9.1875,1,single_token,not_valid_noun
wagons,…..,-9.1875,1,single_token,not_valid_noun
wagons,automotive,-9.1875,1,single_token,not_valid_noun
wagons,Vehicles,-9.1875,1,single_token,not_valid_noun
wagons,a transportation,-9.1875,2,2token,not_valid_noun
wagons,...............,-9.1875,1,single_token,not_valid_noun
wagons,transport for,-9.234375,2,2token,not_valid_noun
wagons,work,-9.25,1,single_token,incomplete_phrase
wagons,,-9.25,1,single_token,not_valid_noun
wagons,truck Complete,-9.25,2,2token,not_valid_noun
wagons,hor,-9.25,1,single_token,not_valid_noun
wagons,automobile .,-9.28125,2,2token,not_valid_noun
wagons,. Write,-9.3125,2,2token,not_valid_noun
wagons,. The,-9.3125,2,2token,not_valid_noun
wagons,. car,-9.3125,2,2token,not_valid_noun
wagons,. What,-9.3125,2,2token,not_valid_noun
wagons,. a,-9.3125,2,2token,not_valid_noun
wagons,a horse,-9.3125,2,2token,not_valid_noun
wagons,... Read,-9.3125,2,2token,not_valid_noun
wagons,a train,-9.3125,2,2token,not_valid_noun
wagons,...... Complete,-9.3359375,2,2token,not_valid_noun
wagons,transport Read,-9.359375,2,2token,not_valid_noun
wagons,*,-9.375,1,single_token,not_valid_noun
wagons,tra,-9.375,1,single_token,incomplete_phrase
wagons,mechanical,-9.375,1,single_token,not_valid_noun
wagons,bug,-9.375,1,single_token,incomplete_phrase
wagons,rolling,-9.375,1,single_token,incomplete_phrase
wagons,carriage .,-9.375,2,2token,not_valid_noun
wagons,vehicles (,-9.390625,2,2token,not_valid_noun
wagons,vehicle ____,-9.41796875,2,2token,not_valid_noun
wagons,vehicle used,-9.41796875,2,2token,incomplete_phrase
wagons,vehicle Fill,-9.41796875,2,2token,not_valid_noun
wagons,two,-9.4375,1,single_token,incomplete_phrase
wagons,of vehicle,-9.4375,2,2token,not_valid_noun
wagons,earth,-9.4375,1,single_token,incomplete_phrase
wagons,mean,-9.4375,1,single_token,incomplete_phrase
wagons,What,-9.4375,1,single_token,not_valid_noun
wagons,……………………,-9.4375,1,single_token,not_valid_noun
wagons,is,-9.4375,1,single_token,not_valid_noun
wagons,The,-9.4375,1,single_token,not_valid_noun
wagons,...........,-9.4375,1,single_token,not_valid_noun
wagons,modes,-9.4375,1,single_token,not_valid_noun
wagons,moving,-9.4375,1,single_token,not_valid_noun
wagons,a cart,-9.4375,2,2token,not_valid_noun
wagons,. Fill,-9.4375,2,2token,not_valid_noun
wagons,_____ (,-9.46875,2,2token,not_valid_noun
wagons,modes of,-9.4697265625,2,2token,not_valid_noun
wagons,mean of,-9.470458984375,2,2token,not_valid_noun
wagons,delivery,-9.5,1,single_token,incomplete_phrase
wagons,---,-9.5,1,single_token,not_valid_noun
wagons,=,-9.5,1,single_token,not_valid_noun
wagons,… Read,-9.53125,2,2token,not_valid_noun
wagons,vehicle -,-9.54296875,2,2token,not_valid_noun
wagons,cart or,-9.546875,2,2token,not_valid_noun
wagons,___________ Complete,-9.546875,2,2token,not_valid_noun
wagons,hear,-9.5625,1,single_token,not_valid_noun
wagons,children,-9.5625,1,single_token,incomplete_phrase
wagons,d,-9.5625,1,single_token,not_valid_noun
wagons,. Choose,-9.5625,2,2token,not_valid_noun
wagons,heavy,-9.5625,1,single_token,incomplete_phrase
wagons,boats,-9.5625,1,single_token,not_valid_noun
wagons,field,-9.625,1,single_token,incomplete_phrase
wagons,horse .,-9.625,2,2token,not_valid_noun
