noun1	count	noun2_list
tube tops	31	accessory, animal, auto part, clothing, container, dessert, drink, electronic device, fastener, food, footwear, furniture, game, headwear, home decor, jewelry, kitchen equipment, livestock, mammal, medical equipment, musical instrument, office supply, outerwear, plant, protective clothing, school supply, toiletry, tool, toy, weapon, women's clothing
elephants	30	auto part, breakfast, candy, clothing, condiment, dessert, drink, fastener, food, footwear, fruit, furniture, game, garden tool, headwear, home decor, jewelry, kitchen equipment, kitchen tool, mammal, medical equipment, musical instrument, outerwear, plant, school supply, seafood, toiletry, vegetable, water vehicle, weapon
honey	29	accessory, auto part, clothing, container, electronic device, food, footwear, furniture, game, garden tool, home decor, kitchen equipment, kitchen tool, mammal, musical instrument, office supply, outerwear, plant, protective clothing, school supply, sea animal, toiletry, tool, toy, vegetable, vehicle, water vehicle, weapon, women's clothing
zebras	28	auto part, breakfast, clothing, container, dessert, drink, electronic device, fastener, food, footwear, fruit, game, garden tool, home decor, jewelry, kitchen equipment, kitchen tool, mammal, office supply, outerwear, plant, toiletry, tool, toy, vehicle, water vehicle, weapon, women's clothing
latches	27	accessory, animal, auto part, clothing, container, dessert, electronic device, fastener, food, furniture, game, home decor, jewelry, kitchen tool, mammal, medical equipment, musical instrument, plant, protective clothing, school supply, toiletry, tool, toy, vehicle, water vehicle, weapon, women's clothing
bulls	26	accessory, animal, auto part, breakfast, clothing, condiment, drink, fastener, food, footwear, game, headwear, home decor, jewelry, livestock, mammal, musical instrument, office supply, outerwear, plant, school supply, toiletry, tool, toy, weapon, women's clothing
ducklings	25	accessory, animal, auto part, clothing, condiment, container, dessert, electronic device, fastener, footwear, furniture, garden tool, jewelry, kitchen tool, mammal, medical equipment, musical instrument, office supply, plant, protective clothing, toiletry, toy, vehicle, weapon, women's clothing
mirrors	24	auto part, bird, clothing, container, dessert, drink, fastener, fruit, furniture, garden tool, home decor, insect, kitchen equipment, kitchen tool, mammal, medical equipment, outerwear, plant, school supply, sea animal, tool, vehicle, weapon, women's clothing
stretchers	24	accessory, animal, container, electronic device, fastener, food, footwear, furniture, home decor, jewelry, livestock, mammal, medical equipment, office supply, plant, protective clothing, school supply, sea animal, toiletry, tool, toy, vegetable, vehicle, women's clothing
dustpans	23	accessory, animal, auto part, clothing, container, food, headwear, home decor, kitchen equipment, kitchen tool, mammal, medical equipment, musical instrument, office supply, plant, protective clothing, school supply, toiletry, tool, toy, vehicle, weapon, women's clothing
whisks	23	accessory, animal, auto part, clothing, container, electronic device, fastener, food, furniture, game, home decor, jewelry, kitchen equipment, kitchen tool, musical instrument, office supply, school supply, toiletry, tool, toy, water vehicle, weapon, women's clothing
puppies	23	accessory, auto part, condiment, container, electronic device, fastener, food, footwear, fruit, furniture, garden tool, headwear, kitchen equipment, kitchen tool, medical equipment, plant, protective clothing, school supply, toiletry, vegetable, vehicle, weapon, women's clothing
bassoons	22	accessory, breakfast, candy, clothing, condiment, container, dessert, fastener, food, fruit, furniture, game, garden tool, livestock, musical instrument, office supply, outerwear, school supply, toiletry, tool, vegetable, vehicle
rabbits	21	animal, candy, clothing, condiment, container, dessert, drink, electronic device, fastener, food, fruit, kitchen equipment, kitchen tool, livestock, musical instrument, plant, sea animal, seafood, toy, vegetable, vehicle
tridents	20	animal, auto part, candy, clothing, container, dessert, drink, electronic device, fastener, food, fruit, furniture, livestock, medical equipment, musical instrument, plant, tool, vegetable, vehicle, weapon
maple syrup	20	animal, bird, breakfast, clothing, condiment, container, electronic device, food, furniture, game, headwear, insect, livestock, mammal, plant, tool, toy, vegetable, vehicle, weapon
backscratchers	19	animal, clothing, container, electronic device, fastener, food, furniture, game, garden tool, headwear, kitchen equipment, kitchen tool, medical equipment, office supply, protective clothing, toiletry, tool, vehicle, women's clothing
highlighters	19	accessory, animal, auto part, container, dessert, fastener, furniture, home decor, kitchen equipment, kitchen tool, medical equipment, musical instrument, plant, protective clothing, toiletry, tool, toy, weapon, women's clothing
jackets	19	bird, breakfast, candy, clothing, container, electronic device, food, fruit, furniture, insect, mammal, musical instrument, outerwear, sea animal, seafood, toiletry, tool, toy, vegetable
coils	19	accessory, animal, auto part, clothing, electronic device, fastener, food, game, home decor, kitchen equipment, medical equipment, musical instrument, plant, school supply, toiletry, toy, vehicle, water vehicle, weapon
roosters	18	accessory, animal, auto part, breakfast, clothing, container, dessert, electronic device, food, furniture, home decor, jewelry, livestock, musical instrument, plant, school supply, tool, toy
envelopes	18	animal, clothing, container, electronic device, fastener, furniture, game, headwear, home decor, medical equipment, musical instrument, outerwear, school supply, toiletry, toy, vehicle, weapon, women's clothing
chains	17	accessory, animal, auto part, electronic device, fastener, food, game, headwear, medical equipment, musical instrument, protective clothing, school supply, toiletry, toy, water vehicle, weapon, women's clothing
cantaloupes	17	animal, candy, condiment, container, dessert, drink, fastener, food, fruit, home decor, mammal, plant, sea animal, toiletry, tool, toy, vegetable
calves	17	breakfast, candy, clothing, dessert, drink, food, furniture, game, home decor, jewelry, kitchen tool, livestock, mammal, musical instrument, office supply, tool, vegetable
jams	15	accessory, bird, breakfast, clothing, condiment, container, electronic device, food, mammal, plant, sea animal, tool, vehicle, water vehicle, weapon
bolts	15	accessory, animal, auto part, clothing, container, food, furniture, game, home decor, office supply, school supply, toiletry, tool, toy, vehicle
crayfish	14	animal, bird, breakfast, clothing, container, dessert, drink, fastener, food, mammal, plant, sea animal, seafood, toiletry
mandolins	13	animal, auto part, clothing, container, dessert, fastener, food, fruit, mammal, musical instrument, plant, protective clothing, vehicle
stilettoes	13	animal, clothing, container, drink, electronic device, footwear, insect, mammal, medical equipment, sea animal, toiletry, vegetable, women's clothing
turkeys	13	animal, bird, breakfast, clothing, container, fruit, livestock, mammal, sea animal, seafood, tool, vegetable, vehicle
noodles	13	breakfast, clothing, condiment, container, dessert, drink, fastener, food, kitchen tool, office supply, school supply, toy, vegetable
scallops	13	animal, breakfast, candy, condiment, container, dessert, drink, food, mammal, sea animal, seafood, toiletry, tool
chairs	12	animal, breakfast, container, electronic device, fastener, fruit, furniture, livestock, mammal, seafood, tool, vehicle
bananas	12	accessory, animal, clothing, container, electronic device, food, fruit, headwear, home decor, outerwear, tool, vehicle
prunes	12	animal, clothing, container, electronic device, food, fruit, livestock, musical instrument, school supply, tool, water vehicle, weapon
rearview mirrors	12	animal, bird, breakfast, clothing, container, fastener, food, office supply, plant, tool, toy, vegetable
margaritas	12	animal, bird, clothing, drink, electronic device, fruit, livestock, mammal, musical instrument, outerwear, toy, water vehicle
