group,file,variant,n_total,n_pos,n_neg,gen_roc,val_roc,val_acc,pearson,spearman,n
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_100_test_log-odds_tc_20260515.csv,raw,28,15,13,0.8153846153846154,0.9743589743589742,0.8571428571428571,0.716759836489639,0.7228915662650605,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_100_test_log-odds_tc_20260515.csv,tc,28,15,13,0.882051282051282,0.9743589743589742,0.8571428571428571,0.8597305637402146,0.7721796276013145,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_100_test_log-odds_tc_20260515.csv,lenorm,28,15,13,0.7692307692307692,0.9743589743589742,0.8571428571428571,0.4074278233591561,0.330777656078861,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_100_test_log-odds_tc_20260515.csv,tc+lenorm,28,15,13,0.9435897435897436,0.9743589743589742,0.8571428571428571,0.8524522615754493,0.7907995618838994,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_104_test_log-odds_tc_20260515.csv,raw,29,15,14,0.5952380952380952,0.8238095238095238,0.8275862068965517,0.7013949395650024,0.6522167487684728,29
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_104_test_log-odds_tc_20260515.csv,tc,29,15,14,0.7047619047619047,0.8238095238095238,0.8275862068965517,0.46376658159976736,0.3236453201970443,29
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_104_test_log-odds_tc_20260515.csv,lenorm,29,15,14,0.6428571428571428,0.8238095238095238,0.8275862068965517,0.1472440539903976,0.08078817733990146,29
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_104_test_log-odds_tc_20260515.csv,tc+lenorm,29,15,14,0.6714285714285715,0.8238095238095238,0.8275862068965517,0.2954173606347388,0.1576354679802955,29
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_107_test_log-odds_tc_20260515.csv,raw,28,15,13,0.6051282051282051,0.9589743589743589,0.7142857142857143,0.40169228981158706,0.33935907970419066,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_107_test_log-odds_tc_20260515.csv,tc,28,15,13,0.7538461538461538,0.9589743589743589,0.7142857142857143,0.4462377001607796,0.3338811284579567,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_107_test_log-odds_tc_20260515.csv,lenorm,28,15,13,0.6871794871794872,0.9589743589743589,0.7142857142857143,0.4786588146491068,0.4593262119967132,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_107_test_log-odds_tc_20260515.csv,tc+lenorm,28,15,13,0.7333333333333333,0.9589743589743589,0.7142857142857143,0.45141035816691644,0.3311421528348398,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_108_test_log-odds_tc_20260515.csv,raw,29,15,14,0.37142857142857144,0.8952380952380953,0.6206896551724138,0.07960449871949907,0.06748768472906402,29
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_108_test_log-odds_tc_20260515.csv,tc,29,15,14,0.838095238095238,0.8952380952380953,0.6206896551724138,0.36809939830699473,0.40492610837438414,29
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_108_test_log-odds_tc_20260515.csv,lenorm,29,15,14,0.6714285714285715,0.8952380952380953,0.6206896551724138,0.40580641673844403,0.4576354679802954,29
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_108_test_log-odds_tc_20260515.csv,tc+lenorm,29,15,14,0.8904761904761904,0.8952380952380953,0.6206896551724138,0.4040021140218679,0.5088669950738914,29
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_109_test_log-odds_tc_20260515.csv,raw,28,15,13,0.8,1.0,1.0,0.6685362527989621,0.7957842868874898,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_109_test_log-odds_tc_20260515.csv,tc,28,15,13,0.8769230769230769,1.0,1.0,0.6899873087973967,0.681357788119354,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_109_test_log-odds_tc_20260515.csv,lenorm,28,15,13,0.7487179487179487,1.0,1.0,0.46296854117972247,0.5379140432521216,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_109_test_log-odds_tc_20260515.csv,tc+lenorm,28,15,13,0.8769230769230769,1.0,1.0,0.599869375171153,0.6517930468108405,28
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_10_test_log-odds_tc_20260515.csv,raw,24,15,9,0.6444444444444445,0.8296296296296297,0.4583333333333333,0.3642302718932162,0.4495652173913043,24
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_10_test_log-odds_tc_20260515.csv,tc,24,15,9,0.8444444444444446,0.8296296296296297,0.4583333333333333,0.30845297770899505,0.35478260869565215,24
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_10_test_log-odds_tc_20260515.csv,lenorm,24,15,9,0.7407407407407407,0.8296296296296297,0.4583333333333333,0.3217275707981992,0.4243478260869564,24
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_10_test_log-odds_tc_20260515.csv,tc+lenorm,24,15,9,0.8518518518518519,0.8296296296296297,0.4583333333333333,0.2603657475345926,0.3217391304347825,24
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_110_test_log-odds_tc_20260515.csv,raw,27,15,12,0.5055555555555555,0.9944444444444445,0.8148148148148148,0.3163563124291295,0.21428571428571427,27
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_110_test_log-odds_tc_20260515.csv,tc,27,15,12,0.8111111111111111,0.9944444444444445,0.8148148148148148,0.7337235072844085,0.721001221001221,27
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_110_test_log-odds_tc_20260515.csv,lenorm,27,15,12,0.7000000000000001,0.9944444444444445,0.8148148148148148,0.30972765332858804,0.2905982905982906,27
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_110_test_log-odds_tc_20260515.csv,tc+lenorm,27,15,12,0.8222222222222222,0.9944444444444445,0.8148148148148148,0.6102877609006412,0.6904761904761905,27
Base_neg,scores_neg-v6-google_gemma-4-31B-it_humaneval-v2.1correct-upper-humaneval_111_test_log-odds_tc_20260515.csv,raw,24,13,11,0.7062937062937062,0.972027972027972,0.8333333333333334,0.5330707790324157,0.5356521739130434,24
