id,question,answer,gpt4_ground_truth,strategy
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Husky,Yes,plausibleqa
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Greenland Dog,Yes,plausibleqa
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Canadian Eskimo Dog,Yes,plausibleqa
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Samoyed,Yes,plausibleqa
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Alaskan Malamute,No,plausibleqa
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Newfoundland,No,plausibleqa
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Bernese Mountain Dog,No,plausibleqa
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Yakutian Laika,No,plausibleqa
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Norwegian Elkhound,No,plausibleqa
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Chinook,No,plausibleqa
trivia_4099,What type of dog is traditionally used above the Arctic Circle to pull sleds over snow?,Inuit Dog,No,plausibleqa
webq_1603,where are kohler sinks manufactured?,Kohler,Yes,plausibleqa
webq_1603,where are kohler sinks manufactured?,"United States (Kohler, Wisconsin)",Yes,plausibleqa
webq_1603,where are kohler sinks manufactured?,Mexico,Yes,plausibleqa
webq_1603,where are kohler sinks manufactured?,China,Yes,plausibleqa
webq_1603,where are kohler sinks manufactured?,India,Yes,plausibleqa
webq_1603,where are kohler sinks manufactured?,Moen,No,plausibleqa
webq_1603,where are kohler sinks manufactured?,American Standard,No,plausibleqa
webq_1603,where are kohler sinks manufactured?,Delta Faucet,No,plausibleqa
webq_1603,where are kohler sinks manufactured?,Toto,No,plausibleqa
webq_1603,where are kohler sinks manufactured?,Elkay,No,plausibleqa
webq_1603,where are kohler sinks manufactured?,Franke,No,plausibleqa
webq_1603,where are kohler sinks manufactured?,Blanco,No,plausibleqa
webq_1603,where are kohler sinks manufactured?,Rohl,No,plausibleqa
webq_1603,where are kohler sinks manufactured?,Kraus,No,plausibleqa
webq_1603,where are kohler sinks manufactured?,Sterling,No,plausibleqa
webq_959,what are some famous people from el salvador?,Óscar Navarro,Yes,plausibleqa
webq_959,what are some famous people from el salvador?,Óscar Romero,Yes,plausibleqa
webq_959,what are some famous people from el salvador?,Nayib Bukele,Yes,plausibleqa
webq_959,what are some famous people from el salvador?,"Jorge ""Mágico"" González",Yes,plausibleqa
webq_959,what are some famous people from el salvador?,Roque Dalton,Yes,plausibleqa
webq_959,what are some famous people from el salvador?,Fernando Llort,Yes,plausibleqa
webq_959,what are some famous people from el salvador?,Álvaro Torres,Yes,plausibleqa
webq_959,what are some famous people from el salvador?,José Napoleón Duarte,Yes,plausibleqa
webq_959,what are some famous people from el salvador?,José Arturo Castellanos,Yes,plausibleqa
webq_959,what are some famous people from el salvador?,Marcelo Arévalo,Yes,plausibleqa
webq_959,what are some famous people from el salvador?,Consuelo de Saint-Exupéry,Yes,plausibleqa
webq_959,what are some famous people from el salvador?,Salvador Sánchez Cerén,No,plausibleqa
webq_959,what are some famous people from el salvador?,Mónica Herrera,No,plausibleqa
webq_959,what are some famous people from el salvador?,Rafael Arce Zablah,No,plausibleqa
webq_959,what are some famous people from el salvador?,Francisco Flores Pérez,No,plausibleqa
webq_959,what are some famous people from el salvador?,Mauricio Funes,No,plausibleqa
webq_959,what are some famous people from el salvador?,Juan José Guzmán,No,plausibleqa
webq_959,what are some famous people from el salvador?,Farabundo Martí,No,plausibleqa
webq_959,what are some famous people from el salvador?,Schafik Hándal,No,plausibleqa
webq_959,what are some famous people from el salvador?,Ana Vilma de Escobar,No,plausibleqa
webq_959,what are some famous people from el salvador?,Alfredo Cristiani,No,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,Miner,Yes,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,woodcutter,Yes,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,stonemason,Yes,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,coal miner,Yes,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,Carpenter,No,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,Blacksmith,No,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,Quarryman,No,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,Sawyer,No,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,Logger,No,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,Shipwright,No,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,Plasterer,No,plausibleqa
trivia_3419,Hewer is an old occupational name for which trade?,Roofer,No,plausibleqa
webq_987,where did benjamin franklin work?,Josiah Franklin,Yes,plausibleqa
webq_987,where did benjamin franklin work?,"James Franklin’s print shop (The New-England Courant), Boston",Yes,plausibleqa
webq_987,where did benjamin franklin work?,"Samuel Keimer’s shop and later his own Pennsylvania Gazette print shop, Philadelphia",Yes,plausibleqa
webq_987,where did benjamin franklin work?,"The colonial and U.S. Post Office (Postmaster of Philadelphia, Deputy Postmaster General, first U.S. Postmaster General)",Yes,plausibleqa
webq_987,where did benjamin franklin work?,"The American diplomatic mission at Passy (Hôtel de Valentinois), near Paris, France",Yes,plausibleqa
webq_987,where did benjamin franklin work?,As a colonial agent in London at 36 Craven Street,Yes,plausibleqa
webq_987,where did benjamin franklin work?,Samuel Keimer,No,plausibleqa
webq_987,where did benjamin franklin work?,The Pennsylvania Gazette,No,plausibleqa
webq_987,where did benjamin franklin work?,Deborah Read Franklin,No,plausibleqa
webq_987,where did benjamin franklin work?,James Ralph,No,plausibleqa
webq_987,where did benjamin franklin work?,Andrew Bradford,No,plausibleqa
webq_987,where did benjamin franklin work?,The London Printing House,No,plausibleqa
webq_987,where did benjamin franklin work?,The Boston Gazette,No,plausibleqa
webq_987,where did benjamin franklin work?,The American Post Office,No,plausibleqa
webq_987,where did benjamin franklin work?,The University of Pennsylvania,No,plausibleqa
webq_987,where did benjamin franklin work?,The British Government,No,plausibleqa
webq_344,what international organizations is china part of?,World Bank,Yes,plausibleqa
webq_344,what international organizations is china part of?,United Nations,Yes,plausibleqa
webq_344,what international organizations is china part of?,World Trade Organization,Yes,plausibleqa
webq_344,what international organizations is china part of?,International Monetary Fund,Yes,plausibleqa
webq_344,what international organizations is china part of?,World Bank Group,Yes,plausibleqa
webq_344,what international organizations is china part of?,Group of Twenty (G20),Yes,plausibleqa
webq_344,what international organizations is china part of?,BRICS,Yes,plausibleqa
webq_344,what international organizations is china part of?,Shanghai Cooperation Organisation,Yes,plausibleqa
webq_344,what international organizations is china part of?,Asia-Pacific Economic Cooperation,Yes,plausibleqa
webq_344,what international organizations is china part of?,Asian Infrastructure Investment Bank,Yes,plausibleqa
webq_344,what international organizations is china part of?,Asian Development Bank,Yes,plausibleqa
webq_344,what international organizations is china part of?,World Health Organization,Yes,plausibleqa
webq_344,what international organizations is china part of?,"United Nations Educational, Scientific and Cultural Organization",Yes,plausibleqa
webq_344,what international organizations is china part of?,Food and Agriculture Organization of the United Nations,Yes,plausibleqa
webq_344,what international organizations is china part of?,International Atomic Energy Agency,Yes,plausibleqa
webq_344,what international organizations is china part of?,International Monetary Fund (IMF),No,plausibleqa
webq_344,what international organizations is china part of?,Asian Development Bank (ADB),No,plausibleqa
webq_344,what international organizations is china part of?,United Nations (UN),No,plausibleqa
webq_344,what international organizations is china part of?,Asian Infrastructure Investment Bank (AIIB),No,plausibleqa
webq_344,what international organizations is china part of?,International Labour Organization (ILO),No,plausibleqa
webq_344,what international organizations is china part of?,World Trade Organization (WTO),No,plausibleqa
webq_344,what international organizations is china part of?,World Health Organization (WHO),No,plausibleqa
webq_344,what international organizations is china part of?,International Telecommunication Union (ITU),No,plausibleqa
webq_344,what international organizations is china part of?,Food and Agriculture Organization (FAO),No,plausibleqa
webq_344,what international organizations is china part of?,International Civil Aviation Organization (ICAO),No,plausibleqa
nq_486,when did south sudan join east african community?,2016,Yes,plausibleqa
nq_486,when did south sudan join east african community?,2 March 2016 (admitted by EAC Heads of State),Yes,plausibleqa
nq_486,when did south sudan join east african community?,15 April 2016 (Treaty of Accession signed),Yes,plausibleqa
nq_486,when did south sudan join east african community?,5 September 2016 (accession entered into force/full membership),Yes,plausibleqa
nq_486,when did south sudan join east african community?,2010,No,plausibleqa
nq_486,when did south sudan join east african community?,2014,No,plausibleqa
nq_486,when did south sudan join east african community?,2012,No,plausibleqa
nq_486,when did south sudan join east african community?,2007,No,plausibleqa
nq_486,when did south sudan join east african community?,2018,No,plausibleqa
nq_486,when did south sudan join east african community?,2013,No,plausibleqa
nq_486,when did south sudan join east african community?,2009,No,plausibleqa
nq_486,when did south sudan join east african community?,2015,No,plausibleqa
nq_486,when did south sudan join east african community?,2011,No,plausibleqa
nq_486,when did south sudan join east african community?,2017,No,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,gastroschisis,Yes,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Paralytic ileus or mechanical bowel obstruction preventing enteral feeding,Yes,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Short bowel syndrome after extensive small-bowel resection,Yes,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Severe acute pancreatitis with intolerance to enteral feeding,Yes,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,High-output proximal enterocutaneous fistula,Yes,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Short Bowel Syndrome,No,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Necrotizing Enterocolitis,No,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Intestinal Atresia,No,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Chronic Intestinal Pseudo-Obstruction,No,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Crohn's Disease,No,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Ulcerative Colitis,No,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Celiac Disease,No,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Biliary Atresia,No,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Pancreatic Insufficiency,No,plausibleqa
nq_677,which condition would most likely require nutrition delivered through tpn?,Hirschsprung's Disease,No,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Bear McCreary,Yes,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Raya Yarbrough,Yes,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Griogair Labhruidh,Yes,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Sinead O'Connor,Yes,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Ramin Djawadi,No,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Lorne Balfe,No,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Hans Zimmer,No,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Max Richter,No,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Olafur Arnalds,No,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Nils Frahm,No,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Clint Mansell,No,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Brian Tyler,No,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Murray Gold,No,plausibleqa
nq_1604,who sings the skye boat song on outlander?,Richard Bain,No,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Fats Waller,Yes,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Frank Sinatra,Yes,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Nat King Cole,Yes,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Ella Fitzgerald,Yes,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Paul McCartney,Yes,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Billie Holiday,No,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Louis Armstrong,No,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Dinah Washington,No,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Eartha Kitt,No,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Peggy Lee,No,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Dean Martin,No,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Bing Crosby,No,plausibleqa
nq_1718,who sang gon na sit right down and write myself a letter?,Rosemary Clooney,No,plausibleqa
webq_1605,what countries speak english natively?,Canada,Yes,plausibleqa
webq_1605,what countries speak english natively?,United States,Yes,plausibleqa
webq_1605,what countries speak english natively?,United Kingdom,Yes,plausibleqa
webq_1605,what countries speak english natively?,Ireland,Yes,plausibleqa
webq_1605,what countries speak english natively?,Australia,Yes,plausibleqa
webq_1605,what countries speak english natively?,New Zealand,Yes,plausibleqa
webq_1605,what countries speak english natively?,The Bahamas,Yes,plausibleqa
webq_1605,what countries speak english natively?,Trinidad and Tobago,Yes,plausibleqa
webq_1605,what countries speak english natively?,Belize,Yes,plausibleqa
webq_1605,what countries speak english natively?,Guyana,Yes,plausibleqa
webq_1605,what countries speak english natively?,Saint Kitts and Nevis,Yes,plausibleqa
webq_1605,what countries speak english natively?,Saint Lucia,Yes,plausibleqa
webq_1605,what countries speak english natively?,Saint Vincent and the Grenadines,Yes,plausibleqa
webq_1605,what countries speak english natively?,Grenada,Yes,plausibleqa
webq_1605,what countries speak english natively?,Dominica,Yes,plausibleqa
webq_1605,what countries speak english natively?,South Africa,No,plausibleqa
webq_1605,what countries speak english natively?,Jamaica,No,plausibleqa
webq_1605,what countries speak english natively?,Bahamas,No,plausibleqa
webq_1605,what countries speak english natively?,Barbados,No,plausibleqa
webq_830,who was frida kahlo influenced by?,Diego Rivera,Yes,plausibleqa
webq_830,who was frida kahlo influenced by?,Mexican folk art and ex-voto/retablo painters,Yes,plausibleqa
webq_830,who was frida kahlo influenced by?,Pre-Columbian (indigenous Mexican) art and culture,Yes,plausibleqa
webq_830,who was frida kahlo influenced by?,José Guadalupe Posada,Yes,plausibleqa
webq_830,who was frida kahlo influenced by?,José Clemente Orozco,No,plausibleqa
webq_830,who was frida kahlo influenced by?,Paul Klee,No,plausibleqa
webq_830,who was frida kahlo influenced by?,Rufino Tamayo,No,plausibleqa
webq_830,who was frida kahlo influenced by?,Salvador Dalí,No,plausibleqa
webq_830,who was frida kahlo influenced by?,Remedios Varo,No,plausibleqa
webq_830,who was frida kahlo influenced by?,Leonora Carrington,No,plausibleqa
webq_830,who was frida kahlo influenced by?,Edward Weston,No,plausibleqa
webq_830,who was frida kahlo influenced by?,Miguel Covarrubias,No,plausibleqa
webq_830,who was frida kahlo influenced by?,María Izquierdo,No,plausibleqa
webq_830,who was frida kahlo influenced by?,David Alfaro Siqueiros,No,plausibleqa
webq_363,when did conflict start in ireland?,Viking invasion of Ireland,Yes,plausibleqa
webq_363,when did conflict start in ireland?,1968 (start of Northern Ireland civil-rights unrest/violence),Yes,plausibleqa
webq_363,when did conflict start in ireland?,August 1969 (riots including the Battle of the Bogside),Yes,plausibleqa
webq_363,when did conflict start in ireland?,1969 (British Army deployment in Northern Ireland),Yes,plausibleqa
webq_363,when did conflict start in ireland?,Norman invasion of Ireland (1169),No,plausibleqa
webq_363,when did conflict start in ireland?,Irish War of Independence (1919),No,plausibleqa
webq_363,when did conflict start in ireland?,Battle of Moytura (1st century AD),No,plausibleqa
webq_363,when did conflict start in ireland?,Cromwellian conquest of Ireland (1649),No,plausibleqa
webq_363,when did conflict start in ireland?,Rebellion of 1641 (1641),No,plausibleqa
