id,question,answer,gpt4_ground_truth,strategy
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Trimurt,Yes,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Trimurti,Yes,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Hindu Trinity,Yes,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Trideva,Yes,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Brahmvishnusiva,No,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Devatraya,No,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Brahmaditya,No,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Vishnubrahmasiva,No,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Trimarga,No,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Sadguna,No,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Treeni,No,plausibleqa
trivia_9589,"In the Hindu religion what name is given to the triad of chief gods Brahma, Vishnu and Siva?",Adityatraya,No,plausibleqa
nq_3385,when did the golden state warriors win the finals?,2017,Yes,plausibleqa
nq_3385,when did the golden state warriors win the finals?,1947,Yes,plausibleqa
nq_3385,when did the golden state warriors win the finals?,1956,Yes,plausibleqa
nq_3385,when did the golden state warriors win the finals?,1975,Yes,plausibleqa
nq_3385,when did the golden state warriors win the finals?,2015,Yes,plausibleqa
nq_3385,when did the golden state warriors win the finals?,2018,Yes,plausibleqa
nq_3385,when did the golden state warriors win the finals?,2022,Yes,plausibleqa
nq_3385,when did the golden state warriors win the finals?,2007,No,plausibleqa
nq_3385,when did the golden state warriors win the finals?,2020,No,plausibleqa
nq_3385,when did the golden state warriors win the finals?,2016,No,plausibleqa
nq_3385,when did the golden state warriors win the finals?,2003,No,plausibleqa
nq_3385,when did the golden state warriors win the finals?,2019,No,plausibleqa
nq_3385,when did the golden state warriors win the finals?,1994,No,plausibleqa
nq_3385,when did the golden state warriors win the finals?,2006,No,plausibleqa
webq_428,what is the zip code for midland tx?,79702,Yes,plausibleqa
webq_428,what is the zip code for midland tx?,79701,Yes,plausibleqa
webq_428,what is the zip code for midland tx?,79703,Yes,plausibleqa
webq_428,what is the zip code for midland tx?,79705,Yes,plausibleqa
webq_428,what is the zip code for midland tx?,79706,Yes,plausibleqa
webq_428,what is the zip code for midland tx?,79707,Yes,plausibleqa
webq_428,what is the zip code for midland tx?,79765,Yes,plausibleqa
webq_428,what is the zip code for midland tx?,79601,No,plausibleqa
