method_num,method,task,file
0,Base,rosch-bird,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-bird_test_log-odds_tc_20260607.csv
0,Base,rosch-carpenters-tool,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-carpenters-tool_test_log-odds_tc_20260607.csv
0,Base,rosch-clothing,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-clothing_test_log-odds_tc_20260607.csv
0,Base,rosch-fruit,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-fruit_test_log-odds_tc_20260607.csv
0,Base,rosch-furniture,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-furniture_test_log-odds_tc_20260607.csv
0,Base,rosch-sport,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-sport_test_log-odds_tc_20260607.csv
0,Base,rosch-toy,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-toy_test_log-odds_tc_20260607.csv
0,Base,rosch-vegetable,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-vegetable_test_log-odds_tc_20260607.csv
0,Base,rosch-vehicle,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-vehicle_test_log-odds_tc_20260607.csv
0,Base,rosch-weapon,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-weapon_test_log-odds_tc_20260607.csv
0,Base,rosch-bird,scores_self-v6-Qwen_Qwen3.5-9B_rosch-bird_test_log-odds_tc_20260607.csv
0,Base,rosch-carpenters-tool,scores_self-v6-Qwen_Qwen3.5-9B_rosch-carpenters-tool_test_log-odds_tc_20260607.csv
0,Base,rosch-clothing,scores_self-v6-Qwen_Qwen3.5-9B_rosch-clothing_test_log-odds_tc_20260607.csv
0,Base,rosch-fruit,scores_self-v6-Qwen_Qwen3.5-9B_rosch-fruit_test_log-odds_tc_20260607.csv
0,Base,rosch-furniture,scores_self-v6-Qwen_Qwen3.5-9B_rosch-furniture_test_log-odds_tc_20260607.csv
0,Base,rosch-sport,scores_self-v6-Qwen_Qwen3.5-9B_rosch-sport_test_log-odds_tc_20260607.csv
0,Base,rosch-toy,scores_self-v6-Qwen_Qwen3.5-9B_rosch-toy_test_log-odds_tc_20260607.csv
0,Base,rosch-vegetable,scores_self-v6-Qwen_Qwen3.5-9B_rosch-vegetable_test_log-odds_tc_20260607.csv
0,Base,rosch-vehicle,scores_self-v6-Qwen_Qwen3.5-9B_rosch-vehicle_test_log-odds_tc_20260607.csv
0,Base,rosch-weapon,scores_self-v6-Qwen_Qwen3.5-9B_rosch-weapon_test_log-odds_tc_20260607.csv
0,Base,rosch-bird,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-bird_test_log-odds_tc_20260607.csv
0,Base,rosch-carpenters-tool,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-carpenters-tool_test_log-odds_tc_20260607.csv
0,Base,rosch-clothing,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-clothing_test_log-odds_tc_20260607.csv
0,Base,rosch-fruit,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-fruit_test_log-odds_tc_20260607.csv
0,Base,rosch-furniture,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-furniture_test_log-odds_tc_20260607.csv
0,Base,rosch-sport,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-sport_test_log-odds_tc_20260607.csv
0,Base,rosch-toy,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-toy_test_log-odds_tc_20260607.csv
0,Base,rosch-vegetable,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-vegetable_test_log-odds_tc_20260607.csv
0,Base,rosch-vehicle,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-vehicle_test_log-odds_tc_20260607.csv
0,Base,rosch-weapon,scores_neg-v6-Qwen_Qwen3.5-9B_rosch-weapon_test_log-odds_tc_20260607.csv
