method_num,method,task,file
0,Base,ifeval-prompt_22,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_22_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_23,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_23_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_24,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_24_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_25,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_25_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_26,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_26_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_27,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_27_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_28,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_28_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_29,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_29_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_30,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_30_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_32,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_32_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_33,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_33_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_34,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_34_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_35,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_35_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_36,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_36_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_37,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_37_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_38,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_38_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_39,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_39_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_40,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_40_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_41,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_41_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_42,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_42_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_43,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_43_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_44,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_44_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_45,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_45_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_46,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_46_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_47,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_47_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_48,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_48_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_49,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_49_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_50,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_50_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_51,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_51_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_52,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_52_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_53,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_53_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_54,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_54_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_56,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_56_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_57,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_57_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_58,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_58_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_59,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_59_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_61,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_61_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_63,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_63_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_64,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_64_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_65,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_65_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_66,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_66_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_67,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_67_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_68,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_68_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_70,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_70_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_72,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_72_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_73,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_73_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_74,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_74_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_75,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_75_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_76,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_76_test_log-odds_tc_20260520.csv
0,Base,ifeval-prompt_77,scores_basetyp-v6-google_gemma-2-9b-it_ifeval-prompt_77_test_log-odds_tc_20260520.csv
