method_num,method,column,eval_prefix,variant,task,value,file
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-psychopathy,0.17825180308180721,scores_self-v6-google_gemma-2-2b-it_persona-v1-psychopathy_test_log-odds_tc_20260520.csv
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-machiavellianism,0.24578036897332037,scores_self-v6-google_gemma-2-2b-it_persona-v1-machiavellianism_test_log-odds_tc_20260520.csv
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-narcissism,0.2051094943372318,scores_self-v6-google_gemma-2-2b-it_persona-v1-narcissism_test_log-odds_tc_20260520.csv
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-desire-to-create-allies,-0.23741761822446367,scores_self-v6-google_gemma-2-2b-it_persona-v1-desire-to-create-allies_test_log-odds_tc_20260520.csv
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-interest-in-music,0.05204498432484855,scores_self-v6-google_gemma-2-2b-it_persona-v1-interest-in-music_test_log-odds_tc_20260520.csv
0,Base,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-interest-in-science,-0.11624606046612909,scores_self-v6-google_gemma-2-2b-it_persona-v1-interest-in-science_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-psychopathy,0.1050976921212577,scores_self-v6-google_gemma-2-2b-it_persona-v1-psychopathy_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-machiavellianism,0.18708259847706443,scores_self-v6-google_gemma-2-2b-it_persona-v1-machiavellianism_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-narcissism,0.35625126574598465,scores_self-v6-google_gemma-2-2b-it_persona-v1-narcissism_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-desire-to-create-allies,-0.05517713771439562,scores_self-v6-google_gemma-2-2b-it_persona-v1-desire-to-create-allies_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-interest-in-music,0.20207844820981488,scores_self-v6-google_gemma-2-2b-it_persona-v1-interest-in-music_test_log-odds_tc_20260520.csv
0,Base,PMI self,self-,tc,persona-v1-interest-in-science,0.11786742364795814,scores_self-v6-google_gemma-2-2b-it_persona-v1-interest-in-science_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-psychopathy,0.48953374667366634,scores_neg-v6-google_gemma-2-2b-it_persona-v1-psychopathy_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-machiavellianism,0.3847117250975499,scores_neg-v6-google_gemma-2-2b-it_persona-v1-machiavellianism_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-narcissism,0.46299051698024385,scores_neg-v6-google_gemma-2-2b-it_persona-v1-narcissism_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-desire-to-create-allies,0.39029856646218164,scores_neg-v6-google_gemma-2-2b-it_persona-v1-desire-to-create-allies_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-interest-in-music,0.7168652498130674,scores_neg-v6-google_gemma-2-2b-it_persona-v1-interest-in-music_test_log-odds_tc_20260520.csv
0,Base,Neg self,neg-,tc,persona-v1-interest-in-science,0.6038350251174454,scores_neg-v6-google_gemma-2-2b-it_persona-v1-interest-in-science_test_log-odds_tc_20260520.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-psychopathy,0.6631911730492109,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-psychopathy_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-machiavellianism,0.6502860872648737,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-machiavellianism_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-narcissism,0.6341731856699864,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-narcissism_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-desire-to-create-allies,0.18265068232469348,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-desire-to-create-allies_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-interest-in-music,-0.1271480697543678,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-interest-in-music_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,Raw,"['self-', 'neg-', 'basetyp-', 'basetypneg-', '']",raw,persona-v1-interest-in-science,0.015037916247919628,scores_basetypneg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-interest-in-science_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,PMI self,self-,tc,persona-v1-psychopathy,0.5906531121260209,scores_self-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-psychopathy_test_log-odds_tc_20260523.csv
1,SFT labelonly 10%,PMI self,self-,tc,persona-v1-machiavellianism,0.61142823350218,scores_self-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-machiavellianism_test_log-odds_tc_20260523.csv
1,SFT labelonly 10%,PMI self,self-,tc,persona-v1-narcissism,0.5819446981933183,scores_self-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-narcissism_test_log-odds_tc_20260523.csv
1,SFT labelonly 10%,PMI self,self-,tc,persona-v1-desire-to-create-allies,0.3364346414808133,scores_self-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-desire-to-create-allies_test_log-odds_tc_20260523.csv
1,SFT labelonly 10%,PMI self,self-,tc,persona-v1-interest-in-music,-0.03173765917686111,scores_self-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-interest-in-music_test_log-odds_tc_20260523.csv
1,SFT labelonly 10%,PMI self,self-,tc,persona-v1-interest-in-science,0.17529016820596896,scores_self-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-interest-in-science_test_log-odds_tc_20260523.csv
1,SFT labelonly 10%,PMI base,basetyp-,tc,persona-v1-psychopathy,0.7172272657319922,scores_basetyp-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-psychopathy_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,PMI base,basetyp-,tc,persona-v1-machiavellianism,0.7048175330863962,scores_basetyp-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-machiavellianism_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,PMI base,basetyp-,tc,persona-v1-narcissism,0.7163815860823872,scores_basetyp-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-narcissism_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,PMI base,basetyp-,tc,persona-v1-desire-to-create-allies,0.3227985306801802,scores_basetyp-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-desire-to-create-allies_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,PMI base,basetyp-,tc,persona-v1-interest-in-music,-0.004807054302304723,scores_basetyp-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-interest-in-music_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,PMI base,basetyp-,tc,persona-v1-interest-in-science,0.1570621663090607,scores_basetyp-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-interest-in-science_test_log-odds_tc_20260521.csv
1,SFT labelonly 10%,Neg self,neg-,tc,persona-v1-psychopathy,0.40314870827105975,scores_neg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-psychopathy_test_log-odds_tc_20260523.csv
1,SFT labelonly 10%,Neg self,neg-,tc,persona-v1-machiavellianism,0.3917439036859351,scores_neg-v6-google--gemma-2-2b-it-delta0.15-epoch2--persona-v1-all--d2g--random--alpha1.0--full-completion--pref0.0--nllv1.0--nllg1.0--labelonly0.1_persona-v1-machiavellianism_test_log-odds_tc_20260523.csv
