noun1,predicted_hypernym,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
mirrors,iron,-1.9321750402450562,1,beam_search,No,-9.83777550089495,-19.1016772007016,-18.355202675109414,-9.808175554551639,-11.949865760413415
mirrors,lens,-1.3031342029571533,1,beam_search,No,-14.509921072911173,-19.1016772007016,-19.287644107531058,-11.120876620460274,-11.949865760413415
mirrors,household materials,-12.90625,2,2token,Yes,-28.15435407462477,-19.1016772007016,-29.647935859766307,-10.829823569771488,-11.949865760413415
mirrors,craft object,-15.03125,2,2token,Yes,-18.922488744526948,-19.1016772007016,-26.171704335229236,-11.258275494688709,-11.949865760413415
mirrors,equipment,-1.225886344909668,1,beam_search,Yes,-16.93632685557338,-19.1016772007016,-20.68168048197275,-9.486092556040502,-11.949865760413415
mirrors,decorative items,-11.59375,2,2token,Yes,-24.813912705065256,-19.1016772007016,-29.50702656247725,-12.073274021314857,-11.949865760413415
mirrors,reflective surface,-12.59375,2,2token,Yes,-29.51022265305058,-19.1016772007016,-30.748440665338165,-12.534548935110227,-11.949865760413415
mirrors,luster,-13.3125,1,single_token,No,-12.103929736026823,-19.1016772007016,-19.47442482110084,-13.907516203760299,-11.949865760413415
mirrors,piece glass,-16.96875,2,2token,Yes,-20.221572481802013,-19.1016772007016,-27.325926163841878,-10.05430811669202,-11.949865760413415
mirrors,wonder,-11.1875,1,single_token,Yes,-16.009323203642708,-19.1016772007016,-16.111268316019995,-9.371682347297504,-11.949865760413415
mirrors,art product,-14.71875,2,2token,Yes,-16.81927436465272,-19.1016772007016,-24.049488608007184,-9.7013617344604,-11.949865760413415
mirrors,kitchen utensils,-12.296875,2,2token,No,-25.064401169546876,-19.1016772007016,-21.755351799252647,-13.390177465218644,-11.949865760413415
mirrors,light reflect,-10.84375,2,2token,Yes,-18.952303927125495,-19.1016772007016,-23.347173317006217,-10.724463559161743,-11.949865760413415
mirrors,help,-9.3125,1,gpt4_negative,Yes,-9.14985659994861,-19.1016772007016,-17.970795009078504,-7.4840085301346555,-11.949865760413415
mirrors,fair,-15.3125,1,single_token,No,-9.492302409252137,-19.1016772007016,-18.603940265092046,-9.233607975374607,-11.949865760413415
mirrors,magic mirror,-16.3125,2,2token,No,-22.64799279029382,-19.1016772007016,-22.098748042705523,-10.845090964202594,-11.949865760413415
mirrors,jam,-13.6875,1,single_token,No,-9.616637988057425,-19.1016772007016,-19.21817252123428,-11.120876620460274,-11.949865760413415
mirrors,promotional merchandise,-22.53125,2,gpt4_positive,Yes,-25.55494939407715,-19.1016772007016,-29.187245686833386,-12.439241280491473,-11.949865760413415
mirrors,household product,-10.90625,2,2token,Yes,-28.661434231135793,-19.1016772007016,-27.02188299987946,-10.71541376459168,-11.949865760413415
mirrors,useful invention,-12.90625,2,2token,Yes,-26.93987885378614,-19.1016772007016,-24.741061423731036,-11.610527268539684,-11.949865760413415
mirrors,artificial thing,-12.15625,2,2token,Yes,-29.09699649583657,-19.1016772007016,-22.5078900451033,-10.994125719191825,-11.949865760413415
mirrors,bearing,-14.875,1,single_token,No,-11.259685619706126,-19.1016772007016,-18.648597454635965,-11.006101838523536,-11.949865760413415
