noun1,noun2,num_tokens,strategy,gpt4_ground_truth,gen_score,gen_score_typcorr,gen_score_lenorm,gen_score_typcorr_lenorm,val_score,gen_prompt,val_prompt
cabinets,piece of furniture,3,beam_search,1,7.357801428896153,7.357801428896153,2.4526004762987177,2.4526004762987177,-0.12472414970397949,Complete the sentence: cabinets are a kind of,Do you think cabinets are furniture? Answer:
cabinets,cupboard,1,beam_search,1,11.533616127385187,11.533616127385187,11.533616127385187,11.533616127385187,6.234442710876465,Complete the sentence: cabinets are a kind of,Do you think cabinets are cupboards? Answer:
cabinets,room,1,beam_search,0,2.409388682080605,2.409388682080605,2.409388682080605,2.409388682080605,-5.24373197555542,Complete the sentence: cabinets are a kind of,Do you think cabinets are rooms? Answer:
cabinets,house,1,beam_search,0,3.083029312978229,3.083029312978229,3.083029312978229,3.083029312978229,-5.61256217956543,Complete the sentence: cabinets are a kind of,Do you think cabinets are houses? Answer:
cabinets,container,1,beam_search,1,2.9736944222751553,2.9736944222751553,2.9736944222751553,2.9736944222751553,7.2343902587890625,Complete the sentence: cabinets are a kind of,Do you think cabinets are containers? Answer:
cabinets,drawer,1,beam_search,0,-0.0780873710586576,-0.0780873710586576,-0.0780873710586576,-0.0780873710586576,-1.2461469173431396,Complete the sentence: cabinets are a kind of,Do you think cabinets are drawers? Answer:
cabinets,building,1,beam_search,0,0.5463966060186776,0.5463966060186776,0.5463966060186776,0.5463966060186776,-4.740934371948242,Complete the sentence: cabinets are a kind of,Do you think cabinets are buildings? Answer:
cabinets,box,1,beam_search,1,2.8632390256567914,2.8632390256567914,2.8632390256567914,2.8632390256567914,2.3750038146972656,Complete the sentence: cabinets are a kind of,Do you think cabinets are boxes? Answer:
cabinets,kitchen appliance,2,beam_search,0,10.67297324528122,10.67297324528122,5.33648662264061,5.33648662264061,-0.6267191171646118,Complete the sentence: cabinets are a kind of,Do you think cabinets are a kitchen appliance? Answer:
cabinets,appliance,1,beam_search,0,1.6970391437179124,1.6970391437179124,1.6970391437179124,1.6970391437179124,-1.2528619766235352,Complete the sentence: cabinets are a kind of,Do you think cabinets are appliances? Answer:
cabinets,table,1,beam_search,0,2.189568559016772,2.189568559016772,2.189568559016772,2.189568559016772,-2.117959499359131,Complete the sentence: cabinets are a kind of,Do you think cabinets are tables? Answer:
cabinets,cabinet,1,beam_search,0,3.8202109181641095,3.8202109181641095,3.8202109181641095,3.8202109181641095,-0.5019432306289673,Complete the sentence: cabinets are a kind of,Do you think cabinets are cabinets? Answer:
cabinets,shelf,1,beam_search,0,2.0377591570821565,2.0377591570821565,2.0377591570821565,2.0377591570821565,0.1250845193862915,Complete the sentence: cabinets are a kind of,Do you think cabinets are shelves? Answer:
cabinets,fruit,1,beam_search,0,1.9549353086372783,1.9549353086372783,1.9549353086372783,1.9549353086372783,-4.012824058532715,Complete the sentence: cabinets are a kind of,Do you think cabinets are fruits? Answer:
cabinets,tool,1,beam_search,0,1.7194825130990967,1.7194825130990967,1.7194825130990967,1.7194825130990967,-2.377749443054199,Complete the sentence: cabinets are a kind of,Do you think cabinets are a tool? Answer:
cabinets,drawer,1,beam_search,0,-0.0780873710586576,-0.0780873710586576,-0.0780873710586576,-0.0780873710586576,-1.2461469173431396,Complete the sentence: cabinets are a kind of,Do you think cabinets are drawers? Answer:
cabinets,store,1,beam_search,0,-2.9220136310262195,-2.9220136310262195,-2.9220136310262195,-2.9220136310262195,-3.2553391456604004,Complete the sentence: cabinets are a kind of,Do you think cabinets are stores? Answer:
cabinets,kitchen,1,beam_search,0,3.6029961452924617,3.6029961452924617,3.6029961452924617,3.6029961452924617,-1.4995670318603516,Complete the sentence: cabinets are a kind of,Do you think cabinets are kitchens? Answer:
cabinets,kitchen furniture,2,beam_search,1,5.761466785930217,5.761466785930217,2.8807333929651087,2.8807333929651087,10.524554252624512,Complete the sentence: cabinets are a kind of,Do you think cabinets are kitchen furniture? Answer:
cabinets,desk,1,beam_search,0,3.1268845001503376,3.1268845001503376,3.1268845001503376,3.1268845001503376,-2.378852128982544,Complete the sentence: cabinets are a kind of,Do you think cabinets are desks? Answer:
cabinets,wardrobe,1,beam_search,0,0.8175498154168235,0.8175498154168235,0.8175498154168235,0.8175498154168235,-1.3739919662475586,Complete the sentence: cabinets are a kind of,Do you think cabinets are wardrobes? Answer:
cabinets,shelf,1,beam_search,0,2.0377591570821565,2.0377591570821565,2.0377591570821565,2.0377591570821565,0.1250845193862915,Complete the sentence: cabinets are a kind of,Do you think cabinets are shelves? Answer:
cabinets,bookcase,1,beam_search,0,8.280273751001047,8.280273751001047,8.280273751001047,8.280273751001047,-1.6242475509643555,Complete the sentence: cabinets are a kind of,Do you think cabinets are bookcases? Answer:
cabinets,object,1,beam_search,1,-0.03829742829407934,-0.03829742829407934,-0.03829742829407934,-0.03829742829407934,3.8671913146972656,Complete the sentence: cabinets are a kind of,Do you think cabinets are objects? Answer:
cabinets,food,1,beam_search,0,1.5727570828613509,1.5727570828613509,1.5727570828613509,1.5727570828613509,-5.8716864585876465,Complete the sentence: cabinets are a kind of,Do you think cabinets are foods? Answer:
cabinets,storage space,2,beam_search,1,5.165716134683201,5.165716134683201,2.5828580673416006,2.5828580673416006,8.24257755279541,Complete the sentence: cabinets are a kind of,Do you think cabinets are a storage space? Answer:
cabinets,dresser,1,beam_search,0,4.481984853770065,4.481984853770065,4.481984853770065,4.481984853770065,-4.266054153442383,Complete the sentence: cabinets are a kind of,Do you think cabinets are dressers? Answer:
cabinets,instrument,1,beam_search,0,1.1986215488291023,1.1986215488291023,1.1986215488291023,1.1986215488291023,-1.377092957496643,Complete the sentence: cabinets are a kind of,Do you think cabinets are instruments? Answer:
cabinets,bedroom,1,beam_search,0,2.8420195856687,2.8420195856687,2.8420195856687,2.8420195856687,-5.36981201171875,Complete the sentence: cabinets are a kind of,Do you think cabinets are bedrooms? Answer:
cabinets,kitchenware,2,beam_search,0,8.47180914116747,8.47180914116747,4.235904570583735,4.235904570583735,-0.501654863357544,Complete the sentence: cabinets are a kind of,Do you think cabinets are kitchenware? Answer:
cabinets,decoration,1,beam_search,0,4.634249781939337,4.634249781939337,4.634249781939337,4.634249781939337,-1.5011534690856934,Complete the sentence: cabinets are a kind of,Do you think cabinets are decorations? Answer:
cabinets,kitchen item,2,beam_search,1,3.661128793182357,3.661128793182357,1.8305643965911784,1.8305643965911784,4.738420009613037,Complete the sentence: cabinets are a kind of,Do you think cabinets are a kitchen item? Answer:
cabinets,home furniture,2,beam_search,1,4.92257176170606,4.92257176170606,2.46128588085303,2.46128588085303,10.23527717590332,Complete the sentence: cabinets are a kind of,Do you think cabinets are home furniture? Answer:
cabinets,cloth,1,beam_search,0,2.752477677428617,2.752477677428617,2.752477677428617,2.752477677428617,-4.488835334777832,Complete the sentence: cabinets are a kind of,Do you think cabinets are clothes? Answer:
cabinets,chair,1,beam_search,0,1.1451408336667939,1.1451408336667939,1.1451408336667939,1.1451408336667939,-5.995912551879883,Complete the sentence: cabinets are a kind of,Do you think cabinets are chairs? Answer:
cabinets,home appliance,2,beam_search,0,6.586294538131806,6.586294538131806,3.293147269065903,3.293147269065903,-1.3750683069229126,Complete the sentence: cabinets are a kind of,Do you think cabinets are a home appliance? Answer:
cabinets,houseware,2,beam_search,1,3.757216745197109,3.757216745197109,1.8786083725985545,1.8786083725985545,7.867247104644775,Complete the sentence: cabinets are a kind of,Do you think cabinets are housewares? Answer:
cabinets,clothing,1,beam_search,0,-0.20204711997263303,-0.20204711997263303,-0.20204711997263303,-0.20204711997263303,-2.633084297180176,Complete the sentence: cabinets are a kind of,Do you think cabinets are clothing? Answer:
cabinets,storage place,2,beam_search,1,5.295145015791277,5.295145015791277,2.6475725078956387,2.6475725078956387,9.35950756072998,Complete the sentence: cabinets are a kind of,Do you think cabinets are a storage place? Answer:
cabinets,machine,1,beam_search,0,1.1670244275770632,1.1670244275770632,1.1670244275770632,1.1670244275770632,-2.250136375427246,Complete the sentence: cabinets are a kind of,Do you think cabinets are machines? Answer:
cabinets,storage room,2,beam_search,0,5.97260090035153,5.97260090035153,2.986300450175765,2.986300450175765,1.0000971555709839,Complete the sentence: cabinets are a kind of,Do you think cabinets are storage rooms? Answer:
cabinets,book,1,beam_search,0,1.2289473676278178,1.2289473676278178,1.2289473676278178,1.2289473676278178,-7.373950958251953,Complete the sentence: cabinets are a kind of,Do you think cabinets are books? Answer:
cabinets,building,1,beam_search,0,0.5463966060186776,0.5463966060186776,0.5463966060186776,0.5463966060186776,-4.740934371948242,Complete the sentence: cabinets are a kind of,Do you think cabinets are buildings? Answer:
cabinets,home,1,beam_search,0,0.2554498928099367,0.2554498928099367,0.2554498928099367,0.2554498928099367,-5.745818614959717,Complete the sentence: cabinets are a kind of,Do you think cabinets are homes? Answer:
cabinets,thing,1,beam_search,1,2.8168789860454897,2.8168789860454897,2.8168789860454897,2.8168789860454897,2.609379768371582,Complete the sentence: cabinets are a kind of,Do you think cabinets are a thing? Answer:
cabinets,kitchen utensil,3,beam_search,0,11.01814681779868,11.01814681779868,3.6727156059328934,3.6727156059328934,-0.7540037631988525,Complete the sentence: cabinets are a kind of,Do you think cabinets are a kitchen utensil? Answer:
cabinets,toy,1,beam_search,0,0.6529413142331038,0.6529413142331038,0.6529413142331038,0.6529413142331038,-2.871825695037842,Complete the sentence: cabinets are a kind of,Do you think cabinets are a toy? Answer:
cabinets,storage furniture,2,beam_search,1,0.19984994942718615,0.19984994942718615,0.09992497471359307,0.09992497471359307,14.54856014251709,Complete the sentence: cabinets are a kind of,Do you think cabinets are storage furniture? Answer:
