noun1,fixed_hypernym_generator,original_hypernym,corrected_generator,corrected_discriminator,discriminator_sentence,generator_sentence,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
dogs,animal,animal,No,Yes,Do you think dogs are animals?,dogs are a kind of animal.,-0.23197785019874573,1,beam_search,Yes,-10.488377315128824,-10.844398107264665,-16.208378546909714,-9.6472945991893,-9.739667769515306
dogs,mammal,mammal,No,Yes,Do you think dogs are mammals?,dogs are a kind of mammal.,-0.5578063130378723,2,beam_search,Yes,-18.447204075344327,-10.844398107264665,-20.31485542764256,-13.102511731701728,-9.739667769515306
dogs,domestic animal,domestic animal,No,Yes,Do you think dogs are domestic animals?,dogs are a kind of domestic animal.,-1.3952373266220093,2,beam_search,Yes,-24.425561369898148,-10.844398107264665,-21.139707555704344,-10.486880284913987,-9.739667769515306
dogs,meat,meat,No,Yes,Do you think dogs are meats?,dogs are a kind of meat,-1.4568250179290771,1,beam_search,No,-10.27409848870561,-10.844398107264665,-16.567260538120593,-10.061309295812062,-9.739667769515306
dogs,vertebrate,vertebrate,No,Yes,Do you think dogs are vertebrates?,dogs are a kind of vertebrate.,-1.5443522930145264,1,beam_search,Yes,-21.52523418187096,-10.844398107264665,-19.332305248313947,-13.884753460706435,-9.739667769515306
dogs,bird,bird,No,Yes,Do you think dogs are birds?,dogs are a kind of bird,-1.5485438108444214,1,beam_search,No,-9.550907329666211,-10.844398107264665,-15.448466163295285,-10.061309295812062,-9.739667769515306
dogs,food,food,No,Yes,Do you think dogs are foods?,dogs are a kind of food,-1.5690878629684448,1,beam_search,No,-9.872208014754865,-10.844398107264665,-17.474982735976003,-8.290057220426196,-9.739667769515306
dogs,beast,beast,No,Yes,Do you think dogs are beasts?,dogs are a kind of beast,-1.607850432395935,1,beam_search,Yes,-16.816710709292316,-10.844398107264665,-18.084054637508224,-10.845090964202594,-9.739667769515306
dogs,fish,fish,No,Yes,Do you think dogs are fish?,dogs are a kind of fish,-1.635711669921875,1,beam_search,No,-9.526645170115193,-10.844398107264665,-14.992825366998408,-9.441010930266133,-9.739667769515306
dogs,domestic animal,domestic animals,Yes,Yes,Do you think dogs are domestic animals?,dogs are a kind of domestic animal.,-1.6417748928070068,2,beam_search,Yes,-23.900090671897626,-10.844398107264665,-21.30202296407227,-10.458609950884211,-9.739667769515306
dogs,four-legged animal,four-legged animal,No,Yes,Do you think dogs are four-legged animals?,dogs are a kind of four-legged animal.,-1.6630516052246094,4,beam_search,Yes,-25.115756378294776,-10.844398107264665,-25.72646629439344,-12.720203726304891,-9.739667769515306
dogs,wild animal,wild animal,No,Yes,Do you think dogs are wild animals?,dogs are a kind of wild animal.,-1.6684398651123047,2,beam_search,No,-18.11649221020189,-10.844398107264665,-19.985223199879822,-10.35290141338215,-9.739667769515306
dogs,car,car,No,Yes,Do you think dogs are cars?,dogs are a kind of car,-1.710898756980896,1,beam_search,No,-7.818037951829868,-10.844398107264665,-16.855081807828856,-8.173603132416295,-9.739667769515306
dogs,puppy,puppy,No,Yes,Do you think dogs are puppies?,dogs are a kind of puppy.,-1.8205074071884155,1,beam_search,No,-17.529031200855325,-10.844398107264665,-18.69456935132137,-11.512915465020228,-9.739667769515306
dogs,quadruped,quadruped,No,Yes,Do you think dogs are quadrupeds?,dogs are a kind of quadruped,-1.8444827795028687,3,beam_search,Yes,-20.728599296444425,-10.844398107264665,-26.246866781751713,-16.09731311177579,-9.739667769515306
dogs,reptile,reptile,No,Yes,Do you think dogs are reptiles?,dogs are a kind of reptile.,-1.8618853092193604,2,beam_search,No,-14.943011971262324,-10.844398107264665,-20.94237369477154,-13.238841015463024,-9.739667769515306
dogs,herbivore,herbivore,No,Yes,Do you think dogs are herbivores?,dogs are a kind of herbivore.,-1.8744456768035889,2,beam_search,No,-24.733546674317537,-10.844398107264665,-22.040678270148554,-15.221599546412344,-9.739667769515306
dogs,kind of animal,kind of animal,No,No,Do you think dogs are a kind of animal?,dogs are a kind of kind of animal.,-1.8822996616363525,3,beam_search,Yes,-19.96070604694785,-10.844398107264665,-21.897222679628527,-9.856602058242151,-9.739667769515306
dogs,small animal,small animal,No,Yes,Do you think dogs are small animals?,dogs are a kind of small animal.,-1.9006879329681396,2,beam_search,No,-19.246941528442484,-10.844398107264665,-22.047339189979226,-9.830235232062204,-9.739667769515306
dogs,animus,anima,Yes,Yes,Do you think dogs are animals?,dogs are a kind of animus.,-1.9091113805770874,1,beam_search,No,-16.405154309952334,-10.844398107264665,-22.753037620775885,-14.368721898226703,-9.739667769515306
dogs,specie,species,Yes,No,Do you think dogs are a species?,dogs are a kind of specie.,-1.9101698398590088,1,beam_search,No,-10.058948922888153,-10.844398107264665,-17.176683445900952,-9.55565014483622,-9.739667769515306
dogs,canid,canine,Yes,Yes,Do you think dogs are canines?,dogs are a kind of canid.,-1.9299150705337524,2,beam_search,Yes,-17.208523939946684,-10.844398107264665,-22.015953473322973,-13.054658001050315,-9.739667769515306
dogs,four-legged animal,four-legged animals,Yes,Yes,Do you think dogs are four-legged animals?,dogs are a kind of four-legged animal.,-1.936466932296753,4,beam_search,Yes,-25.667231958280514,-10.844398107264665,-25.608752363387026,-12.716864936518375,-9.739667769515306
dogs,kind,kind,No,Yes,Do you think dogs are a kind of animal?,dogs are a kind of kind,-1.9375391006469727,1,beam_search,No,-9.162460947058262,-10.844398107264665,-14.04128153850934,-8.173603132416295,-9.739667769515306
dogs,insect,insect,No,Yes,Do you think dogs are insects?,dogs are a kind of insect.,-9.3125,1,existing_hypernyms,No,-17.49313496335084,-10.844398107264665,-18.49668054413757,-12.066293312001894,-9.739667769515306
dogs,small animal,small animals,Yes,Yes,Do you think dogs are small animals?,dogs are a kind of small animal.,-9.484375,2,2token,No,-19.084958016963416,-10.844398107264665,-22.931944651916737,-9.772457535745298,-9.739667769515306
dogs,living creature,living creature,No,Yes,Do you think dogs are living creatures?,dogs are a kind of living creature,-9.6015625,2,2token,Yes,-19.72652031663315,-10.844398107264665,-19.147039978626733,-11.212813465139918,-9.739667769515306
dogs,canid,canid,No,Yes,Do you think dogs are canids?,dogs are a kind of canid.,-9.734375,2,gpt4_positive,Yes,-17.07596694649719,-10.844398107264665,-25.251724691434514,-16.71411612078754,-9.739667769515306
dogs,zoos,zoo,Yes,Yes,Do you think dogs are zoos?,dogs are a kind of zoos.,-9.75,1,single_token,No,-14.393712205477055,-10.844398107264665,-19.690191799112277,-11.190834719450558,-9.739667769515306
dogs,domesticated animal,domesticated animals,Yes,Yes,Do you think dogs are domesticated animals?,dogs are a kind of domesticated animal.,-9.78125,2,2token,Yes,-27.30870437242639,-10.844398107264665,-25.44879521009924,-13.443878038392562,-9.739667769515306
dogs,horse,horse,No,Yes,Do you think dogs are horses?,dogs are a kind of horse,-9.8125,1,single_token,No,-9.607378179049094,-10.844398107264665,-16.18123345516539,-9.763723871032047,-9.739667769515306
dogs,toy,toy,No,Yes,Do you think dogs are toys?,dogs are a kind of toy,-9.875,1,existing_hypernyms,No,-14.778533258953818,-10.844398107264665,-19.979719084886145,-10.819773284422784,-9.739667769515306
dogs,pet animal,pet animals,Yes,Yes,Do you think dogs are pet animals?,dogs are a kind of pet animal.,-9.875,2,2token,Yes,-17.912732774944054,-10.844398107264665,-26.71482854276723,-10.819773284422784,-9.739667769515306
dogs,vertebrate animal,vertebrate animal,No,Yes,Do you think dogs are vertebrate animals?,dogs are a kind of vertebrate animal.,-9.875,2,2token,Yes,-28.573141643231764,-10.844398107264665,-22.74872959924807,-13.898783477158096,-9.739667769515306
dogs,furry animal,furry animal,No,Yes,Do you think dogs are furry animals?,dogs are a kind of furry animal.,-9.890625,2,gpt4_positive,Yes,-25.1171554145335,-10.844398107264665,-25.362295576023204,-12.580010017234043,-9.739667769515306
dogs,ape,ape,No,Yes,Do you think dogs are apes?,dogs are a kind of ape,-10.125,1,single_token,No,-9.58680764911995,-10.844398107264665,-18.832498452257333,-12.710220614542925,-9.739667769515306
dogs,predator,predator,No,Yes,Do you think dogs are predators?,dogs are a kind of predator,-10.1875,1,gpt4_positive,Yes,-15.11912254633103,-10.844398107264665,-17.646547375731732,-12.180385405794198,-9.739667769515306
dogs,monkey,monkey,No,Yes,Do you think dogs are monkeys?,dogs are a kind of monkey.,-10.1875,1,single_token,No,-10.777411770652671,-10.844398107264665,-15.928000958258865,-11.355913169188542,-9.739667769515306
dogs,family member,family member,No,Yes,Do you think dogs are family members?,dogs are a kind of family member.,-10.3046875,2,2token,Yes,-17.966726023896403,-10.844398107264665,-21.336890247635118,-9.079311232377181,-9.739667769515306
dogs,organism,organism,No,Yes,Do you think dogs are organisms?,dogs are a kind of organism,-10.375,1,single_token,Yes,-15.335765973591156,-10.844398107264665,-19.25111702523129,-12.457075693723462,-9.739667769515306
dogs,cow,cow,No,Yes,Do you think dogs are cows?,dogs are a kind of cow,-10.375,1,single_token,No,-10.630586034933218,-10.844398107264665,-17.521779516617958,-11.190834719450558,-9.739667769515306
dogs,wolf,wolf,No,Yes,Do you think dogs are wolves?,dogs are a kind of wolf.,-10.375,1,single_token,Yes,-9.676638907532578,-10.844398107264665,-14.49722116918702,-10.706445134827531,-9.739667769515306
dogs,household pet,household pets,Yes,Yes,Do you think dogs are household pets?,dogs are a kind of household pet.,-10.390625,2,2token,Yes,-26.86426930892008,-10.844398107264665,-23.81265428385929,-11.67073784063048,-9.739667769515306
dogs,prey,prey,No,Yes,Do you think dogs are prey?,dogs are a kind of prey,-10.5,1,single_token,Yes,-13.81494870824464,-10.844398107264665,-18.676573697220284,-11.55895893232227,-9.739667769515306
dogs,domestic pet,domestic pets,Yes,Yes,Do you think dogs are domestic pets?,dogs are a kind of domestic pet.,-10.5,2,2token,Yes,-25.787705857244386,-10.844398107264665,-22.109388371555696,-11.548542279972771,-9.739667769515306
dogs,thing,thing,No,No,Do you think dogs are a thing?,dogs are a kind of thing,-10.5,1,single_token,Yes,-9.505426186623621,-10.844398107264665,-15.13494530347196,-7.552112104896478,-9.739667769515306
dogs,tree,tree,No,Yes,Do you think dogs are trees?,dogs are a kind of tree,-10.5,1,single_token,No,-9.454148984889432,-10.844398107264665,-18.66941227960619,-9.55565014483622,-9.739667769515306
dogs,furry animal,furry animals,Yes,Yes,Do you think dogs are furry animals?,dogs are a kind of furry animal.,-10.515625,2,2token,Yes,-25.150259386941364,-10.844398107264665,-26.812445209054363,-12.57710734183383,-9.739667769515306
dogs,member of the animal kingdom,member of the animal kingdom,No,Yes,Do you think dogs are members of the animal kingdom?,dogs are a kind of member of the animal kingdom.,-10.5322265625,5,gpt4_positive,Yes,-28.246206390199422,-10.844398107264665,-27.240354153184324,-10.738193689133547,-9.739667769515306
dogs,house pet,house pets,Yes,Yes,Do you think dogs are house pets?,dogs are a kind of house pet.,-10.546875,2,2token,Yes,-20.312301057361026,-10.844398107264665,-22.781236210327215,-11.355913169188542,-9.739667769515306
dogs,rodent,rodent,No,Yes,Do you think dogs are rodents?,dogs are a kind of rodent,-10.625,1,single_token,No,-17.633494579528154,-10.844398107264665,-22.536373451964966,-13.358022421788958,-9.739667769515306
dogs,land animal,land animal,No,Yes,Do you think dogs are land animals?,dogs are a kind of land animal.,-10.685546875,2,2token,Yes,-18.00222866196878,-10.844398107264665,-23.441734157587092,-9.976056094835641,-9.739667769515306
dogs,living being,living being,No,Yes,Do you think dogs are living beings?,dogs are a kind of living being.,-10.734375,2,2token,Yes,-17.328119092975843,-10.844398107264665,-19.980047909141145,-8.721759743660767,-9.739667769515306
dogs,other animal,other animals,Yes,Yes,Do you think dogs are other animals?,dogs are a kind of other animal.,-10.7734375,2,2token,Yes,-18.00328708387689,-10.844398107264665,-24.783626151771028,-9.62585430078748,-9.739667769515306
dogs,fur animal,fur animal,No,Yes,Do you think dogs are fur animals?,dogs are a kind of fur animal.,-10.78125,2,2token,Yes,-19.02422020215908,-10.844398107264665,-27.20192105134506,-11.597383740263062,-9.739667769515306
dogs,family pet,family pets,Yes,Yes,Do you think dogs are family pets?,dogs are a kind of family pet.,-10.796875,2,2token,Yes,-21.083909633516917,-10.844398107264665,-23.393294445873018,-11.355913169188542,-9.739667769515306
dogs,man’s best friend,man's best friend,Yes,Yes,Do you think dogs are man's best friends?,dogs are a kind of man’s best friend.,-10.847015380859375,5,gpt4_positive,Yes,-21.157628563489585,-10.844398107264665,-22.481378507843253,-10.850232337269102,-9.739667769515306
