noun1,fixed_hypernym_generator,original_hypernym,corrected_generator,corrected_discriminator,discriminator_sentence,generator_sentence,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
ducklings,duck,duck,No,Yes,Do you think ducklings are ducks?,ducklings are a kind of duck,-0.3908316493034363,1,beam_search,Yes,-16.308307867809685,-25.287339394450747,-17.33996709020412,-11.030493142905481,-14.87365291407867
ducklings,bird,bird,No,Yes,Do you think ducklings are birds?,ducklings are a kind of bird.,-0.45915117859840393,1,beam_search,Yes,-9.550907329666211,-25.287339394450747,-14.778057442990434,-10.061309295812062,-14.87365291407867
ducklings,animal,animal,No,Yes,Do you think ducklings are animals?,ducklings are a kind of animal.,-0.648892343044281,1,beam_search,Yes,-10.488377315128824,-25.287339394450747,-16.323519022140644,-9.6472945991893,-14.87365291407867
ducklings,chick,chicken,Yes,Yes,Do you think ducklings are chickens?,ducklings are a kind of chick.,-0.8056281208992004,1,beam_search,No,-16.73158912160614,-25.287339394450747,-15.770357841976246,-10.061309295812062,-14.87365291407867
ducklings,goos,goose,Yes,Yes,Do you think ducklings are geese?,ducklings are a kind of goos.,-0.9385446310043335,1,beam_search,No,-17.6833182229608,-25.287339394450747,-17.546240476233724,-11.881080337572056,-14.87365291407867
ducklings,baby duck,baby duck,No,Yes,Do you think ducklings are baby ducks?,ducklings are a kind of baby duck.,-1.073237657546997,2,beam_search,Yes,-21.455553147163968,-25.287339394450747,-22.816271095341936,-11.114142633625987,-14.87365291407867
ducklings,fish,fish,No,Yes,Do you think ducklings are fish?,ducklings are a kind of fish,-1.086859941482544,1,beam_search,No,-9.526645170115193,-25.287339394450747,-14.499630989200764,-9.441010930266133,-14.87365291407867
ducklings,chick,chick,No,Yes,Do you think ducklings are chicks?,ducklings are a kind of chick.,-1.0955283641815186,1,beam_search,No,-14.433073797905609,-25.287339394450747,-18.898417320855003,-11.330595574877663,-14.87365291407867
ducklings,baby,baby,No,Yes,Do you think ducklings are babies?,ducklings are a kind of baby,-1.1177995204925537,1,beam_search,Yes,-9.850301357697196,-25.287339394450747,-15.778091239834643,-8.61150332143708,-14.87365291407867
ducklings,baby bird,baby bird,No,Yes,Do you think ducklings are baby birds?,ducklings are a kind of baby bird.,-1.208799123764038,2,beam_search,Yes,-19.74964729760233,-25.287339394450747,-21.280824927922588,-10.271653985731362,-14.87365291407867
