noun1,fixed_hypernym_generator,original_hypernym,corrected_generator,corrected_discriminator,discriminator_sentence,generator_sentence,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
dolls,toy,toys,Yes,Yes,Do you think dolls are toys?,dolls are a kind of toy.,-0.5232887268066406,1,beam_search,Yes,-16.58301857008454,-17.253970752262664,-22.771219731417943,-10.936306482704488,-11.949865760413415
dolls,plaything,plaything,No,Yes,Do you think dolls are playthings?,dolls are a kind of plaything.,-1.236534833908081,2,beam_search,Yes,-19.741800996531495,-17.253970752262664,-18.93872356228418,-14.94221372679891,-11.949865760413415
dolls,girl,girl,No,Yes,Do you think dolls are girls?,dolls are a kind of girl.,-1.2532809972763062,1,beam_search,No,-9.544889949460941,-17.253970752262664,-16.664682634698735,-8.334871217955703,-11.949865760413415
dolls,cloth,clothes,Yes,Yes,Do you think dolls are clothes?,dolls are a kind of cloth,-1.3649218082427979,1,beam_search,No,-17.493136471961822,-17.253970752262664,-19.432479941886413,-9.854695483606605,-11.949865760413415
dolls,children's toy,children's toy,No,Yes,Do you think dolls are children's toys?,dolls are a kind of children's toy.,-1.3944615125656128,4,beam_search,Yes,-22.52479337337203,-17.253970752262664,-21.04761099236375,-11.338963754520753,-11.949865760413415
dolls,child toy,child's toy,Yes,Yes,Do you think dolls are children's toys?,dolls are a kind of child toy.,-1.4409549236297607,4,beam_search,Yes,-21.33563026563627,-17.253970752262664,-21.566351815730506,-11.934504711222024,-11.949865760413415
dolls,puppet,puppet,No,Yes,Do you think dolls are puppets?,dolls are a kind of puppet.,-1.4689173698425293,1,beam_search,No,-18.25968840088007,-17.253970752262664,-19.363980690442244,-11.97335903367619,-11.949865760413415
dolls,clothing,clothing,No,Yes,Do you think dolls are clothing?,dolls are a kind of clothing,-1.4691271781921387,1,beam_search,No,-17.877077981217823,-17.253970752262664,-18.62993615347431,-10.431116904793736,-11.949865760413415
dolls,figure,figure,No,Yes,Do you think dolls are figures?,dolls are a kind of figure.,-1.573039174079895,1,beam_search,Yes,-10.776006249318494,-17.253970752262664,-18.54948909191622,-9.05333576846603,-11.949865760413415
dolls,child,child,No,Yes,Do you think dolls are children?,dolls are a kind of child.,-1.5791034698486328,1,beam_search,No,-9.30294470718443,-17.253970752262664,-16.927998296894774,-8.517192691416362,-11.949865760413415
