noun1,fixed_hypernym_generator,original_hypernym,corrected_generator,corrected_discriminator,discriminator_sentence,generator_sentence,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
cabinets,piece of furniture,furniture,Yes,Yes,Do you think cabinets are furniture?,cabinets are a kind of piece of furniture.,-0.22008712589740753,1,beam_search,Yes,-15.378502283304199,-19.709610460256663,-19.751450271342712,-10.845090964202594,-12.757685542197
cabinets,cupboard,cupboard,No,Yes,Do you think cabinets are cupboards?,cabinets are a kind of cupboard.,-0.6608911752700806,2,beam_search,Yes,-18.739664172313674,-19.709610460256663,-21.70566208067352,-12.80387328331057,-12.757685542197
cabinets,room,room,No,Yes,Do you think cabinets are rooms?,cabinets are a kind of room.,-0.8676411509513855,1,beam_search,No,-8.999647859610482,-19.709610460256663,-15.375018697727942,-8.314251939256366,-12.757685542197
cabinets,house,house,No,Yes,Do you think cabinets are houses?,cabinets are a kind of house.,-0.9831594228744507,1,beam_search,No,-8.575365153149093,-19.709610460256663,-14.736143069172162,-7.57523451786175,-12.757685542197
cabinets,container,container,No,Yes,Do you think cabinets are containers?,cabinets are a kind of container.,-0.9912928342819214,1,beam_search,Yes,-10.39245894196004,-19.709610460256663,-16.10870959297194,-11.445257470745693,-12.757685542197
cabinets,drawer,drawer,No,Yes,Do you think cabinets are drawers?,cabinets are a kind of drawer.,-1.0269134044647217,1,beam_search,No,-15.578362043499475,-19.709610460256663,-18.817992696895516,-12.018746963614761,-12.757685542197
cabinets,building,building,No,Yes,Do you think cabinets are buildings?,cabinets are a kind of building.,-1.0818650722503662,1,beam_search,No,-9.8956976333949,-19.709610460256663,-15.85948235785013,-8.542510486580145,-12.757685542197
cabinets,box,box,No,Yes,Do you think cabinets are boxes?,cabinets are a kind of box.,-1.1206226348876953,1,beam_search,Yes,-8.314967709979824,-19.709610460256663,-14.688383231151908,-9.115029283081363,-12.757685542197
cabinets,kitchen appliance,kitchen appliance,No,No,Do you think cabinets are a kitchen appliance?,cabinets are a kind of kitchen appliance.,-1.1245895624160767,2,beam_search,No,-27.24904732743712,-19.709610460256663,-22.126487712018054,-13.059341630988172,-12.757685542197
cabinets,appliance,appliance,No,Yes,Do you think cabinets are appliances?,cabinets are a kind of appliance.,-1.14274001121521,2,beam_search,No,-16.851671030283853,-19.709610460256663,-22.164531315743822,-13.008990050236646,-12.757685542197
cabinets,table,table,No,Yes,Do you think cabinets are tables?,cabinets are a kind of table.,-1.1472923755645752,1,beam_search,No,-9.210191968715288,-19.709610460256663,-16.655462855179945,-9.097010793812435,-12.757685542197
cabinets,cabinet,cabinet,No,Yes,Do you think cabinets are cabinets?,cabinets are a kind of cabinet.,-1.1756880283355713,1,beam_search,No,-16.36703164234279,-19.709610460256663,-14.154842164274537,-10.384751137819856,-12.757685542197
cabinets,shelf,shelf,No,Yes,Do you think cabinets are shelves?,cabinets are a kind of shelf.,-1.1976841688156128,1,beam_search,No,-20.15852134915089,-19.709610460256663,-18.630511115285238,-11.464125777036624,-12.757685542197
