noun1,fixed_hypernym_generator,original_hypernym,corrected_generator,corrected_discriminator,discriminator_sentence,generator_sentence,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
crows,bird,bird,No,Yes,Do you think crows are birds?,crows are a kind of bird.,-0.1515447199344635,1,beam_search,Yes,-9.550907329666211,-15.987883669617148,-14.594534793820372,-10.061309295812062,-12.733671489881996
crows,mammal,mammal,No,No,Do you think crows are a mammal?,crows are a kind of mammal.,-1.4440861940383911,2,beam_search,No,-18.447204075344327,-15.987883669617148,-19.635149757640665,-13.102511731701728,-12.733671489881996
crows,fowl,fowl,No,Yes,Do you think crows are fowl?,crows are a kind of fowl.,-1.5272752046585083,1,beam_search,No,-16.71128142593814,-15.987883669617148,-19.050547459897377,-13.81541056296394,-12.733671489881996
crows,chicken,chicken,No,Yes,Do you think crows are chickens?,crows are a kind of chicken.,-1.6472469568252563,1,beam_search,No,-16.73158912160614,-15.987883669617148,-15.844057498699843,-10.061309295812062,-12.733671489881996
crows,poultry,poultry,No,Yes,Do you think crows are poultry?,crows are a kind of poultry,-1.7585690021514893,3,beam_search,No,-18.28773779226018,-15.987883669617148,-19.970136698440694,-12.571327145976946,-12.733671489881996
crows,songbird,songbird,No,Yes,Do you think crows are songbirds?,crows are a kind of songbird.,-1.8479995727539062,2,beam_search,Yes,-19.744555180750684,-15.987883669617148,-22.35841628442702,-14.551356493057336,-12.733671489881996
crows,feather,feather,No,Yes,Do you think crows are feathers?,crows are a kind of feather,-1.8973541259765625,1,beam_search,No,-18.173657065370584,-15.987883669617148,-17.393581113154326,-12.226254944892672,-12.733671489881996
crows,owl,owl,No,Yes,Do you think crows are owls?,crows are a kind of owl.,-1.9072368144989014,1,beam_search,No,-9.492418842569233,-15.987883669617148,-16.03491934720574,-11.812666623470685,-12.733671489881996
crows,pigeon,pigeon,No,Yes,Do you think crows are pigeons?,crows are a kind of pigeon.,-1.9184805154800415,1,beam_search,No,-16.174417893562456,-15.987883669617148,-19.598945092234203,-12.411842988787038,-12.733671489881996
crows,song,song,No,Yes,Do you think crows are songs?,crows are a kind of song,-1.9218906164169312,1,beam_search,No,-9.60490227961892,-15.987883669617148,-17.664390488004617,-8.61150332143708,-12.733671489881996
crows,tree,tree,No,Yes,Do you think crows are trees?,crows are a kind of tree.,-1.9410183429718018,1,beam_search,No,-9.454148984889432,-15.987883669617148,-17.181093993655818,-9.55565014483622,-12.733671489881996
