noun1,fixed_hypernym_generator,original_hypernym,corrected_generator,corrected_discriminator,discriminator_sentence,generator_sentence,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
guns,city,city,No,Yes,N/A,guns are a kind of city,-12.1875,1,gpt4_negative,No,-9.906133829427061,-11.297012957037415,-18.84240718173217,-7.806697126821463,-9.993410071882701
guns,will,will,No,Yes,N/A,guns are a kind of will,-14.0,1,single_token,No,-10.428076795339411,-11.297012957037415,-16.014654544286426,-5.871018358571122,-9.993410071882701
guns,wage,wage,No,Yes,N/A,guns are a kind of wage,-14.1875,1,single_token,No,-10.376865031827613,-11.297012957037415,-18.98380257066528,-10.501320916934723,-9.993410071882701
guns,month,month,No,Yes,N/A,guns are a kind of month,-14.1875,1,single_token,No,-10.077268452523901,-11.297012957037415,-19.860982005248566,-8.633726445874593,-9.993410071882701
guns,room,room,No,Yes,N/A,guns are a kind of room,-14.1875,1,single_token,No,-8.999647859610482,-11.297012957037415,-17.197541213357947,-8.314251939256366,-9.993410071882701
guns,morning,morning,No,Yes,N/A,guns are a kind of morning.,-14.625,1,single_token,No,-11.123548179350054,-11.297012957037415,-18.930741574644706,-8.449534075652812,-9.993410071882701
guns,launch,launch,No,Yes,N/A,guns are a kind of launch,-14.75,1,single_token,No,-10.62257170506111,-11.297012957037415,-19.65955160568679,-9.923688219039404,-9.993410071882701
guns,ford,ford,No,Yes,N/A,guns are a kind of ford,-14.75,1,single_token,No,-9.30455707835622,-11.297012957037415,-18.03841434033646,-10.362350272819453,-9.993410071882701
guns,game animal,game animal,No,Yes,N/A,guns are a kind of game animal.,-15.96875,2,2token,No,-18.76079974320181,-11.297012957037415,-25.748252676975554,-9.763723871032047,-9.993410071882701
guns,province,province,No,Yes,N/A,guns are a kind of province,-16.125,1,gpt4_negative,No,-17.308586633274544,-11.297012957037415,-22.069957890528485,-10.431116904793736,-9.993410071882701
guns,science class,science class,No,Yes,N/A,guns are a kind of science class,-16.625,2,2token,No,-18.574698004829028,-11.297012957037415,-24.3013235132395,-9.388270385726427,-9.993410071882701
guns,cold climates,cold climate,Yes,Yes,N/A,guns are a kind of cold climates.,-17.0625,2,2token,No,-19.77409770470603,-11.297012957037415,-26.48479779474772,-10.277451086612402,-9.993410071882701
guns,timetable,timetable,No,Yes,N/A,guns are a kind of timetable,-17.375,1,gpt4_negative,No,-17.618098330443434,-11.297012957037415,-22.906299229505137,-12.80387328331057,-9.993410071882701
guns,geography,geography,No,Yes,N/A,guns are a kind of geography,-17.5,1,gpt4_negative,No,-18.061010411685587,-11.297012957037415,-20.604798559279782,-11.55895893232227,-9.993410071882701
guns,respiration,respiration,No,Yes,N/A,guns are a kind of respiration,-18.375,1,gpt4_negative,No,-18.561592941685344,-11.297012957037415,-23.076582513892628,-13.702092590928718,-9.993410071882701
