noun1,fixed_hypernym_generator,original_hypernym,corrected_generator,corrected_discriminator,discriminator_sentence,generator_sentence,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
guns,weapon,weapon,No,Yes,Do you think guns are weapons?,guns are a kind of weapon,-0.2117234170436859,1,beam_search,Yes,-11.07728714571915,-11.297012957037415,-14.029814299985093,-10.268767989171232,-9.993410071882701
guns,firearm,firearm,No,Yes,Do you think guns are firearms?,guns are a kind of firearm,-0.9074050188064575,2,beam_search,Yes,-18.10562082290936,-11.297012957037415,-17.448483449886716,-12.226254944892672,-9.993410071882701
guns,toy,toy,No,Yes,Do you think guns are toys?,guns are a kind of toy,-1.2141811847686768,1,beam_search,No,-14.778533258953818,-11.297012957037415,-19.368303002714185,-10.819773284422784,-9.993410071882701
guns,machine,machine,No,Yes,Do you think guns are machines?,guns are a kind of machine.,-1.2290526628494263,1,beam_search,Yes,-10.432922220867052,-11.297012957037415,-15.814506644446316,-9.441010930266133,-9.993410071882701
guns,sport,sport,No,Yes,Do you think guns are a sport activity?,guns are a kind of sport,-1.3071630001068115,1,beam_search,No,-16.360773826581084,-11.297012957037415,-16.693396241502995,-9.832095694253796,-9.993410071882701
guns,ammunition,ammunition,No,Yes,Do you think guns are ammunition?,guns are a kind of ammunition,-1.354187250137329,2,beam_search,No,-18.561474660947205,-11.297012957037415,-16.67826621774922,-11.7199373343572,-9.993410071882701
guns,violence,violence,No,Yes,Do you think guns are violent?,guns are a kind of violence,-1.3852779865264893,1,beam_search,Yes,-11.790444711259628,-11.297012957037415,-18.018602167622163,-9.786592021706781,-9.993410071882701
guns,food,food,No,Yes,Do you think guns are foods?,guns are a kind of food,-1.3980871438980103,1,beam_search,No,-9.872208014754865,-11.297012957037415,-17.96821321713244,-8.290057220426196,-9.993410071882701
guns,equipment,equipment,No,Yes,Do you think guns are equipment?,guns are a kind of equipment,-1.4740809202194214,1,beam_search,Yes,-16.93632685557338,-11.297012957037415,-20.330974442512836,-9.486092556040502,-9.993410071882701
guns,rifle,rifle,No,Yes,Do you think guns are rifles?,guns are a kind of rifle.,-1.4811139106750488,1,beam_search,No,-16.755089520483388,-11.297012957037415,-21.30894348406671,-11.100809191648768,-9.993410071882701
guns,weapon,weaponry,Yes,Yes,Do you think guns are weapons?,guns are a kind of weapon,-1.4882848262786865,2,beam_search,Yes,-19.409058294836676,-11.297012957037415,-21.20227887656224,-12.98691507322928,-9.993410071882701
guns,firearm,firearms,Yes,Yes,Do you think guns are firearms?,guns are a kind of firearm.,-1.533539891242981,2,beam_search,Yes,-19.15835913729301,-11.297012957037415,-16.928158663507116,-11.7199373343572,-9.993410071882701
guns,pistols,pistol,Yes,Yes,Do you think guns are pistols?,guns are a kind of pistols.,-1.6221742630004883,2,beam_search,No,-15.200439039561777,-11.297012957037415,-18.64227745714016,-11.674256864566717,-9.993410071882701
