noun1,fixed_hypernym_generator,original_hypernym,corrected_generator,corrected_discriminator,discriminator_sentence,generator_sentence,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
bazookas,toy,toy,No,No,Do you think bazookas are a toy?,bazookas are a kind of toy.,-0.7578887343406677,1,beam_search,No,-14.778533258953818,-22.296437394171306,-19.519167410969626,-10.819773284422784,-16.37041057957281
bazookas,cannon,cannon,No,Yes,Do you think bazookas are cannons?,bazookas are a kind of cannon.,-0.9771378636360168,1,beam_search,No,-16.043063326008227,-22.296437394171306,-20.214817672753966,-11.464125777036624,-16.37041057957281
bazookas,firearm,firearm,No,Yes,Do you think bazookas are firearms?,bazookas are a kind of firearm,-0.9895620346069336,2,beam_search,Yes,-18.10562082290936,-22.296437394171306,-20.555531894523742,-12.226254944892672,-16.37041057957281
bazookas,missile,missile,No,Yes,Do you think bazookas are missiles?,bazookas are a kind of missile.,-1.0024635791778564,1,beam_search,No,-17.450486295710572,-22.296437394171306,-20.343340292757965,-11.190834719450558,-16.37041057957281
bazookas,rocket,rocket,No,Yes,Do you think bazookas are rockets?,bazookas are a kind of rocket,-1.1246274709701538,1,beam_search,Yes,-10.779472221961317,-22.296437394171306,-16.065383314736348,-10.799970755165333,-16.37041057957281
bazookas,tool,tool,No,No,Do you think bazookas are a tool?,bazookas are a kind of tool,-1.1450570821762085,1,beam_search,No,-10.106467982925874,-22.296437394171306,-16.889544200574765,-10.223690061876328,-16.37041057957281
bazookas,instrument,instrument,No,Yes,Do you think bazookas are instruments?,bazookas are a kind of instrument,-1.2243062257766724,1,beam_search,No,-17.590314368326958,-22.296437394171306,-17.00658989707953,-10.914083469391125,-16.37041057957281
bazookas,artillery,artillery,No,Yes,Do you think bazookas are artillery?,bazookas are a kind of artillery,-1.272270917892456,2,beam_search,Yes,-18.539229699404146,-22.296437394171306,-18.133693637733213,-11.605029789025867,-16.37041057957281
bazookas,rifle,rifle,No,Yes,Do you think bazookas are rifles?,bazookas are a kind of rifle.,-1.3197648525238037,1,beam_search,No,-16.755089520483388,-22.296437394171306,-23.09271861056647,-11.100809191648768,-16.37041057957281
bazookas,toy,toys,Yes,Yes,Do you think bazookas are toys?,bazookas are a kind of toy.,-1.351037859916687,1,beam_search,No,-16.58301857008454,-22.296437394171306,-23.14597549411404,-10.936306482704488,-16.37041057957281
bazookas,bomb,bombs,Yes,Yes,Do you think bazookas are bombs?,bazookas are a kind of bomb.,-1.3529233932495117,1,beam_search,No,-16.682225335536437,-22.296437394171306,-18.984368526618617,-11.169328668406719,-16.37041057957281
bazookas,fruit,fruit,No,No,Do you think bazookas are a fruit?,bazookas are a kind of fruit,-1.3534505367279053,1,beam_search,No,-10.40945006013787,-22.296437394171306,-15.554362724765948,-10.199199108516742,-16.37041057957281
bazookas,weapon,weaponry,Yes,Yes,Do you think bazookas are weaponry?,bazookas are a kind of weapon.,-1.360617756843567,2,beam_search,Yes,-19.409058294836676,-22.296437394171306,-22.54904415193356,-12.98691507322928,-16.37041057957281
