noun1,fixed_hypernym_generator,original_hypernym,corrected_generator,corrected_discriminator,discriminator_sentence,generator_sentence,log_prob,num_tokens,strategy,gpt4_ground_truth,log_prob_noun2,log_prob_noun1,log_prob_noun2_given_context,log_wordfreq_noun2,log_wordfreq_noun1
cars,animal,animal,No,Yes,Do you think cars are animals?,cars are a kind of animal,-1.022705316543579,1,beam_search,No,-10.488377315128824,-11.004476810570365,-18.56350229032596,-9.6472945991893,-9.463941842116137
cars,automobile,automobile,No,Yes,Do you think cars are automobiles?,cars are a kind of automobile.,-1.0669831037521362,1,beam_search,Yes,-19.26515175547103,-11.004476810570365,-18.667402977659055,-11.651027286109512,-9.463941842116137
cars,machinery,machinery,No,Yes,Do you think cars are machinery?,cars are a kind of machinery,-1.2035353183746338,1,beam_search,Yes,-18.063248635144795,-11.004476810570365,-20.110594577233705,-11.464125777036624,-9.463941842116137
cars,engine,engine,No,Yes,Do you think cars are engines?,cars are a kind of engine,-1.232816457748413,1,beam_search,No,-9.900563047117588,-11.004476810570365,-18.39093605725834,-9.57850825025499,-9.463941842116137
cars,wheel,wheel,No,Yes,Do you think cars are wheels?,cars are a kind of wheel,-1.3424053192138672,1,beam_search,No,-10.226753070699699,-11.004476810570365,-16.624910919289132,-10.362350272819453,-9.463941842116137
cars,toy,toy,No,Yes,Do you think cars are toys?,cars are a kind of toy.,-1.3840124607086182,1,beam_search,No,-14.778533258953818,-11.004476810570365,-19.959305315549422,-10.819773284422784,-9.463941842116137
cars,motor,motor,No,Yes,Do you think cars are motors?,cars are a kind of motor,-1.4001035690307617,1,beam_search,No,-16.920220171434895,-11.004476810570365,-17.150130586949267,-10.292092593729713,-9.463941842116137
cars,road vehicle,road vehicle,No,Yes,Do you think cars are road vehicles?,cars are a kind of road vehicle,-1.472377896308899,2,beam_search,Yes,-18.4427294684916,-11.004476810570365,-20.10574547778036,-10.049667747902074,-9.463941842116137
cars,bicycle,bicycle,No,Yes,Do you think cars are bicycles?,cars are a kind of bicycle.,-1.4782003164291382,1,beam_search,No,-17.408024886498346,-11.004476810570365,-17.965102891420365,-11.55895893232227,-9.463941842116137
cars,road transport,road transport,No,Yes,Do you think cars are road transport?,cars are a kind of road transport,-1.5019301176071167,2,beam_search,Yes,-19.61946051850845,-11.004476810570365,-21.703912865858964,-10.191166958324798,-9.463941842116137
cars,food,food,No,No,Do you think cars are a food?,cars are a kind of food,-1.5025044679641724,1,beam_search,No,-9.872208014754865,-11.004476810570365,-18.07329739438441,-8.290057220426196,-9.463941842116137
cars,mammal,mammal,No,Yes,Do you think cars are mammals?,cars are a kind of mammal.,-1.5030333995819092,2,beam_search,No,-18.447204075344327,-11.004476810570365,-21.695420651214256,-13.102511731701728,-9.463941842116137
