question,answer,correct,strategy
Who does the voice of bob's burgers?,H. Jon Benjamin,Yes,ambigqa
Who does the voice of bob's burgers?,Benjamin,Yes,ambigqa
Who does the voice of bob's burgers?,Bill Hader,Yes,ambigqa
Who does the voice of bob's burgers?,H. Jon Benjamin and Bill Hader,Yes,ambigqa
Who does the voice of bob's burgers?,Harry Jon Benjamin,Yes,ambigqa
Who does the voice of bob's burgers?,John Roberts,Yes,ambigqa
Who does the voice of bob's burgers?,Dan Mintz,Yes,ambigqa
Who does the voice of bob's burgers?,Daniel Alexander Mintz,Yes,ambigqa
Who does the voice of bob's burgers?,Eugene Mirman,Yes,ambigqa
Who does the voice of bob's burgers?,Eugene Boris Mirman,Yes,ambigqa
Who does the voice of bob's burgers?,Kristen Schaal,Yes,ambigqa
Who does the voice of bob's burgers?,Kristen Joy Schaal,Yes,ambigqa
Who does the voice of bob's burgers?,Jay Johnston,Yes,ambigqa
Who does the voice of bob's burgers?,Laura Silverman,Yes,ambigqa
Who does the voice of bob's burgers?,Laura Jane Silverman,Yes,ambigqa
Who does the voice of bob's burgers?,Sarah Kate Silverman,Yes,ambigqa
Who does the voice of bob's burgers?,Sarah Silverman,Yes,ambigqa
Who does the voice of bob's burgers?,Bobby Tisdale,Yes,ambigqa
Who does the voice of bob's burgers?,Jenny Sarah Slate,Yes,ambigqa
Who does the voice of bob's burgers?,Jenny Slate,Yes,ambigqa
Who does the voice of bob's burgers?,Aziz Ansari,Yes,ambigqa
Who does the voice of bob's burgers?,Aziz Ismail Ansari,Yes,ambigqa
Who does the voice of bob's burgers?,Brian Huskey,Yes,ambigqa
Who does the voice of bob's burgers?,Larry Murphy,Yes,ambigqa
Who does the voice of bob's burgers?,"Lawrence ""Larry"" Murphy Jr.",Yes,ambigqa
Who does the voice of bob's burgers?,Andy Kindler,Yes,ambigqa
Who does the voice of bob's burgers?,Tim Meadows,Yes,ambigqa
Who does the voice of bob's burgers?,Timothy Meadows,Yes,ambigqa
Who does the voice of bob's burgers?,Megan Mullally,Yes,ambigqa
Who does the voice of bob's burgers?,Kevin Kline,Yes,ambigqa
Who does the voice of bob's burgers?,Kevin Delaney Kline,Yes,ambigqa
Who does the voice of bob's burgers?,Zachary Knight Galifianakis,Yes,ambigqa
Who does the voice of bob's burgers?,Zach Galifianakis,Yes,ambigqa
Who does the voice of bob's burgers?,Samuel Lincoln Seder,Yes,ambigqa
Who does the voice of bob's burgers?,Sam Seder,Yes,ambigqa
Who does the voice of bob's burgers?,Ron Lynch,Yes,ambigqa
Who does the voice of bob's burgers?,Paul Miller,No,plausible
Who does the voice of bob's burgers?,Joshua Lee,No,plausible
Who does the voice of bob's burgers?,Brandon Wright,No,plausible
Who does the voice of bob's burgers?,Kyle Collins,No,plausible
Who does the voice of bob's burgers?,Patrick Mitchell,No,plausible
Who does the voice of bob's burgers?,Benjamin Scott,No,plausible
Who does the voice of bob's burgers?,Dennis Baker,No,plausible
Who does the voice of bob's burgers?,Douglas Reed,No,plausible
Who does the voice of bob's burgers?,Charles Thomas,No,plausible
Who does the voice of bob's burgers?,Daniel Clark,No,plausible
Who does the voice of bob's burgers?,Steven Wilson,No,plausible
Who does the voice of bob's burgers?,James Jones,No,plausible
Who does the voice of bob's burgers?,Robert Brown,No,plausible
Who does the voice of bob's burgers?,David Williams,No,plausible
Who does the voice of bob's burgers?,Sean Campbell,No,plausible
Who does the voice of bob's burgers?,Richard Nelson,No,plausible
Who does the voice of bob's burgers?,Bruce Roberts,No,plausible
Who does the voice of bob's burgers?,Brian Walker,No,plausible
Who does the voice of bob's burgers?,Alex Parker,No,plausible
Who does the voice of bob's burgers?,Matthew Harris,No,plausible
