question,answer,correct,strategy
Who was involved in the battle of goliad?,Texas settlers,Yes,ambigqa
Who was involved in the battle of goliad?,Texian Rebels,Yes,ambigqa
Who was involved in the battle of goliad?,Texians,Yes,ambigqa
Who was involved in the battle of goliad?,Mexican Army soldiers garrisoned at Presidio La Bahía,Yes,ambigqa
Who was involved in the battle of goliad?,Mexico,Yes,ambigqa
Who was involved in the battle of goliad?,the mexican army,Yes,ambigqa
Who was involved in the battle of goliad?,Benjamin Milam,Yes,ambigqa
Who was involved in the battle of goliad?,John Lin,Yes,ambigqa
Who was involved in the battle of goliad?,Philip Dimmitt,Yes,ambigqa
Who was involved in the battle of goliad?,George Collinsworth,Yes,ambigqa
Who was involved in the battle of goliad?,James Fannin,Yes,ambigqa
Who was involved in the battle of goliad?,"James Fannin, Philip Dimmitt, John Lin, George Collinsworth, and Benjamin Milam",Yes,ambigqa
Who was involved in the battle of goliad?,Martín Perfecto de Cos,Yes,ambigqa
Who was involved in the battle of goliad?,Martín Perfecto de Cos and Juan López Sandoval,Yes,ambigqa
Who was involved in the battle of goliad?,Juan López Sandoval,Yes,ambigqa
Who was involved in the battle of goliad?,Texian Rebels and Mexico,Yes,ambigqa
Who was involved in the battle of goliad?,James Fannin Philip Dimmitt John Lin George Collinsworth Benjamin Milam,Yes,ambigqa
Who was involved in the battle of goliad?,Juan López Sandoval Martín Perfecto de Cos,Yes,ambigqa
Who was involved in the battle of goliad?,James Bowie,No,plausible
Who was involved in the battle of goliad?,Manuel de Mier y Terán,No,plausible
Who was involved in the battle of goliad?,"Erastus ""Deaf"" Smith",No,plausible
Who was involved in the battle of goliad?,Charles Edward Hawkins,No,plausible
Who was involved in the battle of goliad?,Antonio López de Santa Anna,No,plausible
Who was involved in the battle of goliad?,Mirabeau B. Lamar,No,plausible
Who was involved in the battle of goliad?,Henry Smith,No,plausible
Who was involved in the battle of goliad?,Sam Houston,No,plausible
Who was involved in the battle of goliad?,Hendrick Arnold,No,plausible
Who was involved in the battle of goliad?,Edward Burleson,No,plausible
Who was involved in the battle of goliad?,William B. Travis,No,plausible
Who was involved in the battle of goliad?,William H. Wharton,No,plausible
Who was involved in the battle of goliad?,Sidney Sherman,No,plausible
Who was involved in the battle of goliad?,Stephen F. Austin,No,plausible
Who was involved in the battle of goliad?,José Antonio Navarro,No,plausible
Who was involved in the battle of goliad?,Enrique Esparza,No,plausible
Who was involved in the battle of goliad?,Juan Seguín,No,plausible
Who was involved in the battle of goliad?,Thomas Rusk,No,plausible
Who was involved in the battle of goliad?,José Antonio Navarro,No,uninformed
Who was involved in the battle of goliad?,Texas Rangers,No,uninformed
Who was involved in the battle of goliad?,Spanish explorers,No,uninformed
Who was involved in the battle of goliad?,French Foreign Legion,No,uninformed
Who was involved in the battle of goliad?,Antonio López de Santa Anna,No,uninformed
Who was involved in the battle of goliad?,Juan Seguin,No,uninformed
Who was involved in the battle of goliad?,British Redcoats,No,uninformed
Who was involved in the battle of goliad?,Stephen F. Austin,No,uninformed
Who was involved in the battle of goliad?,American settlers,No,uninformed
Who was involved in the battle of goliad?,Lorenzo de Zavala,No,uninformed
Who was involved in the battle of goliad?,Davy Crockett,No,uninformed
Who was involved in the battle of goliad?,Union soldiers,No,uninformed
Who was involved in the battle of goliad?,Confederate soldiers,No,uninformed
Who was involved in the battle of goliad?,Sam Houston,No,uninformed
Who was involved in the battle of goliad?,Alamo defenders,No,uninformed
Who was involved in the battle of goliad?,Native American tribes,No,uninformed
Who was involved in the battle of goliad?,Mexican civilians,No,uninformed
Who was involved in the battle of goliad?,Revolutionary War soldiers,No,uninformed
Who was involved in the battle of goliad?,Cleopatra,No,clearly-wrong
Who was involved in the battle of goliad?,Winston Churchill,No,clearly-wrong
Who was involved in the battle of goliad?,Amelia Earhart,No,clearly-wrong
Who was involved in the battle of goliad?,Joan of Arc,No,clearly-wrong
Who was involved in the battle of goliad?,Julius Caesar,No,clearly-wrong
Who was involved in the battle of goliad?,Albert Einstein,No,clearly-wrong
Who was involved in the battle of goliad?,Abraham Lincoln,No,clearly-wrong
Who was involved in the battle of goliad?,Genghis Khan,No,clearly-wrong
Who was involved in the battle of goliad?,Attila the Hun,No,clearly-wrong
Who was involved in the battle of goliad?,Queen Victoria,No,clearly-wrong
Who was involved in the battle of goliad?,Winston Churchill,No,clearly-wrong
Who was involved in the battle of goliad?,Elvis Presley,No,clearly-wrong
Who was involved in the battle of goliad?,Socrates,No,clearly-wrong
Who was involved in the battle of goliad?,Napoleon Bonaparte,No,clearly-wrong
Who was involved in the battle of goliad?,William Shakespeare,No,clearly-wrong
Who was involved in the battle of goliad?,Alexander the Great,No,clearly-wrong
Who was involved in the battle of goliad?,Confucius,No,clearly-wrong
Who was involved in the battle of goliad?,Thomas Edison,No,clearly-wrong
