question,answer,correct,strategy
Who sings you make me feel like dancing?,Gerard Hugh Sayer,Yes,ambigqa
Who sings you make me feel like dancing?,Leo Sayer,Yes,ambigqa
Who sings you make me feel like dancing?,Sayer,Yes,ambigqa
Who sings you make me feel like dancing?,Clydie King,Yes,ambigqa
Who sings you make me feel like dancing?,Louis,Yes,ambigqa
Who sings you make me feel like dancing?,"Clydie King, Becky Louis, Sherlie Matthews",Yes,ambigqa
Who sings you make me feel like dancing?,Becky Louis,Yes,ambigqa
Who sings you make me feel like dancing?,Sherlie Matthews,Yes,ambigqa
Who sings you make me feel like dancing?,King,Yes,ambigqa
Who sings you make me feel like dancing?,Clydie Mae King,Yes,ambigqa
Who sings you make me feel like dancing?,Matthews,Yes,ambigqa
Who sings you make me feel like dancing?,Brown Sugar,Yes,ambigqa
Who sings you make me feel like dancing?,"Donald Andrew ""Donnie"" McClurkin, Jr.",Yes,ambigqa
Who sings you make me feel like dancing?,Carmen Carter & Donnie McClurkin,Yes,ambigqa
Who sings you make me feel like dancing?,McClurkin,Yes,ambigqa
Who sings you make me feel like dancing?,Hathaway,Yes,ambigqa
Who sings you make me feel like dancing?,Anne Hathaway,Yes,ambigqa
Who sings you make me feel like dancing?,Anne Jacqueline Hathaway,Yes,ambigqa
Who sings you make me feel like dancing?,The Wiggles,Yes,ambigqa
Who sings you make me feel like dancing?,"Anthony Field, Phillip Wilcher, Murray Cook, Sam Moran, and Jeff Fatt",Yes,ambigqa
Who sings you make me feel like dancing?,John Denver,No,plausible
Who sings you make me feel like dancing?,Neil Diamond,No,plausible
Who sings you make me feel like dancing?,Elton John,No,plausible
Who sings you make me feel like dancing?,Diana Ross,No,plausible
Who sings you make me feel like dancing?,Bee Gees,No,plausible
Who sings you make me feel like dancing?,James Taylor,No,plausible
Who sings you make me feel like dancing?,Paul McCartney,No,plausible
Who sings you make me feel like dancing?,ABBA,No,plausible
Who sings you make me feel like dancing?,Michael Jackson,No,plausible
Who sings you make me feel like dancing?,Donna Summer,No,plausible
Who sings you make me feel like dancing?,Carole King,No,plausible
Who sings you make me feel like dancing?,Rod Stewart,No,plausible
Who sings you make me feel like dancing?,Tina Turner,No,plausible
Who sings you make me feel like dancing?,Olivia Newton-John,No,plausible
Who sings you make me feel like dancing?,David Bowie,No,plausible
Who sings you make me feel like dancing?,Madonna,No,plausible
Who sings you make me feel like dancing?,Kenny Loggins,No,plausible
Who sings you make me feel like dancing?,Dolly Parton,No,plausible
Who sings you make me feel like dancing?,Billy Joel,No,plausible
Who sings you make me feel like dancing?,Stevie Nicks,No,plausible
Who sings you make me feel like dancing?,Rihanna,No,uninformed
Who sings you make me feel like dancing?,Diana Ross,No,uninformed
Who sings you make me feel like dancing?,Elton John,No,uninformed
Who sings you make me feel like dancing?,Barry Manilow,No,uninformed
Who sings you make me feel like dancing?,Rod Stewart,No,uninformed
Who sings you make me feel like dancing?,Janet Jackson,No,uninformed
Who sings you make me feel like dancing?,Whitney Houston,No,uninformed
Who sings you make me feel like dancing?,Bruno Mars,No,uninformed
Who sings you make me feel like dancing?,Paul McCartney,No,uninformed
Who sings you make me feel like dancing?,Olivia Newton-John,No,uninformed
Who sings you make me feel like dancing?,Adele,No,uninformed
Who sings you make me feel like dancing?,Stevie Wonder,No,uninformed
Who sings you make me feel like dancing?,Tina Turner,No,uninformed
Who sings you make me feel like dancing?,Cher,No,uninformed
Who sings you make me feel like dancing?,Katy Perry,No,uninformed
Who sings you make me feel like dancing?,Mick Jagger,No,uninformed
Who sings you make me feel like dancing?,Prince,No,uninformed
Who sings you make me feel like dancing?,Aretha Franklin,No,uninformed
Who sings you make me feel like dancing?,Madonna,No,uninformed
Who sings you make me feel like dancing?,Beyoncé,No,uninformed
Who sings you make me feel like dancing?,Bob Dylan,No,clearly-wrong
Who sings you make me feel like dancing?,Michael Jackson,No,clearly-wrong
Who sings you make me feel like dancing?,Elvis Presley,No,clearly-wrong
Who sings you make me feel like dancing?,Frank Sinatra,No,clearly-wrong
Who sings you make me feel like dancing?,Elton John,No,clearly-wrong
Who sings you make me feel like dancing?,Bruce Springsteen,No,clearly-wrong
Who sings you make me feel like dancing?,Madonna,No,clearly-wrong
Who sings you make me feel like dancing?,Drake,No,clearly-wrong
Who sings you make me feel like dancing?,Britney Spears,No,clearly-wrong
Who sings you make me feel like dancing?,Ed Sheeran,No,clearly-wrong
Who sings you make me feel like dancing?,Rihanna,No,clearly-wrong
Who sings you make me feel like dancing?,Beyoncé,No,clearly-wrong
Who sings you make me feel like dancing?,Adele,No,clearly-wrong
Who sings you make me feel like dancing?,Katy Perry,No,clearly-wrong
Who sings you make me feel like dancing?,Whitney Houston,No,clearly-wrong
Who sings you make me feel like dancing?,Lady Gaga,No,clearly-wrong
Who sings you make me feel like dancing?,Aretha Franklin,No,clearly-wrong
Who sings you make me feel like dancing?,John Lennon,No,clearly-wrong
Who sings you make me feel like dancing?,Justin Bieber,No,clearly-wrong
Who sings you make me feel like dancing?,Freddie Mercury,No,clearly-wrong
Who wrote the lyrics for new york new york?,David Ryan Adams,Yes,ambigqa
Who wrote the lyrics for new york new york?,Adams,Yes,ambigqa
Who wrote the lyrics for new york new york?,Ryan Adams,Yes,ambigqa
Who wrote the lyrics for new york new york?,Ebb,Yes,ambigqa
Who wrote the lyrics for new york new york?,Fred Ebb,Yes,ambigqa
Who wrote the lyrics for new york new york?,Adolph Green,Yes,ambigqa
Who wrote the lyrics for new york new york?,Comden,Yes,ambigqa
Who wrote the lyrics for new york new york?,Betty Comden,Yes,ambigqa
Who wrote the lyrics for new york new york?,Betty Comden and Adolph Green,Yes,ambigqa
Who wrote the lyrics for new york new york?,Green,Yes,ambigqa
Who wrote the lyrics for new york new york?,Frank Sinatra,No,plausible
Who wrote the lyrics for new york new york?,Lorenz Hart,No,plausible
Who wrote the lyrics for new york new york?,Leonard Bernstein,No,plausible
Who wrote the lyrics for new york new york?,George Gershwin,No,plausible
Who wrote the lyrics for new york new york?,Irving Berlin,No,plausible
Who wrote the lyrics for new york new york?,John Kander,No,plausible
Who wrote the lyrics for new york new york?,Stephen Sondheim,No,plausible
Who wrote the lyrics for new york new york?,Oscar Hammerstein II,No,plausible
Who wrote the lyrics for new york new york?,Cole Porter,No,plausible
Who wrote the lyrics for new york new york?,Lin-Manuel Miranda,No,plausible
Who wrote the lyrics for new york new york?,Frank Sinatra,No,uninformed
Who wrote the lyrics for new york new york?,Billy Joel,No,uninformed
Who wrote the lyrics for new york new york?,Jay-Z,No,uninformed
Who wrote the lyrics for new york new york?,Bob Dylan,No,uninformed
Who wrote the lyrics for new york new york?,Bruce Springsteen,No,uninformed
Who wrote the lyrics for new york new york?,Liza Minnelli,No,uninformed
Who wrote the lyrics for new york new york?,Alicia Keys,No,uninformed
Who wrote the lyrics for new york new york?,Carole King,No,uninformed
Who wrote the lyrics for new york new york?,Leonard Bernstein,No,uninformed
Who wrote the lyrics for new york new york?,Lou Reed,No,uninformed
